depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.354145 8.727534 9.111031 9.114139 9.465834 9.994720
0.655000 9.776402 10.318486 10.751655 10.758477 11.177513 11.813580
0.755000 11.177252 11.733561 12.191998 12.153003 12.566291 12.968782
0.855000 12.275699 12.792674 13.106389 13.124911 13.459462 14.065039
0.955000 13.180649 13.665298 14.113034 14.152665 14.673661 15.259041
1.005000 13.640727 14.090095 14.536856 14.541482 14.984856 15.489614
1.105000 16.928232 17.405974 17.778790 17.767659 18.119776 18.550687
1.205000 17.318079 17.895021 18.312799 18.299009 18.686624 19.226186
1.505000 22.435998 23.035569 23.514258 23.526341 24.018222 24.730108
1.705000 27.015187 27.711758 28.266050 28.276877 28.845062 29.598983
2.205000 38.693981 40.714324 42.311595 42.289806 43.896499 45.700909
