depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.175000 0.914212 2.608823 4.519857 4.325350 6.004981 6.703369
0.225000 1.665200 3.348384 5.107947 4.973800 6.543819 7.261393
0.275000 2.592373 4.164720 5.856305 5.669195 7.054245 7.704136
0.375000 4.814375 6.113555 7.268079 7.083015 7.977906 8.471044
0.450000 6.493332 7.497570 8.202217 8.107763 8.691449 9.076417
0.525000 8.538315 8.829236 9.132837 9.116002 9.379469 9.698580
0.555000 8.910399 9.207460 9.500644 9.495810 9.774690 10.070300
0.605000 9.431703 9.777965 10.091820 10.089789 10.406048 10.669110
0.655000 10.192568 10.432036 10.699023 10.700260 10.971088 11.216407
0.705000 10.740335 10.976003 11.313579 11.301281 11.590092 11.873409
0.725000 10.948510 11.236239 11.582673 11.554763 11.851339 12.134865
0.755000 11.374895 11.700301 11.973417 11.957512 12.231522 12.461209
0.805000 12.011629 12.292622 12.561932 12.554674 12.813038 13.080175
0.855000 12.740906 12.902061 13.113197 13.122354 13.337058 13.612469
0.905000 13.145593 13.373930 13.613199 13.639938 13.904434 14.226021
0.955000 13.659238 13.891313 14.113350 14.128367 14.380751 14.638514
1.005000 14.232017 14.482099 14.717489 14.723022 14.969441 15.232901
1.055000 14.965802 15.337029 15.676226 15.702331 16.053195 16.611785
1.075000 15.512511 15.905330 16.288611 16.306874 16.726862 17.176668
1.105000 16.741844 17.060423 17.365452 17.352743 17.645496 17.936293
1.155000 17.331435 17.642437 17.957418 17.960841 18.270270 18.589944
1.205000 17.899381 18.200333 18.486272 18.494345 18.782085 19.176364
1.305000 18.775847 19.369839 19.845339 19.899631 20.416712 21.259554
1.405000 20.082827 20.977055 21.580923 21.549844 22.153342 22.743220
1.505000 22.666635 23.097498 23.511251 23.527641 23.963024 24.452607
1.605000 24.300849 25.048606 25.719995 25.719549 26.392372 27.134646
1.705000 27.322422 27.696163 28.121766 28.128977 28.552770 29.053588
1.755000 28.114054 28.696445 29.180210 29.282684 29.859982 31.003587
1.805000 28.868944 29.642539 30.313188 30.430928 31.231152 32.413560
1.905000 30.487953 31.741665 32.839602 32.950045 34.283600 35.879642
2.005000 33.712564 35.075329 36.515611 36.443482 37.830533 38.832514
2.105000 35.895415 37.661265 39.052879 38.972206 40.352493 41.695295
2.205000 38.038198 39.953808 41.385681 41.292468 42.619614 43.966309
