depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 0.125247 0.376152 0.604814 0.617122 0.845224 1.187735
0.700000 7.345181 7.643554 7.897876 7.910063 8.169992 8.532752
1.350000 7.932763 8.270733 8.560873 8.581854 8.893634 9.313143
2.000000 9.660728 10.109445 10.451123 10.454831 10.824514 11.210749
3.600000 12.307866 12.724804 12.959067 12.962851 13.217205 13.588623
4.000000 13.676320 14.077332 14.464287 14.469217 14.864227 15.297120
5.000000 14.429313 15.041418 15.403425 15.388246 15.753308 16.168068
6.000000 16.058398 16.530689 16.869842 16.863920 17.200641 17.665929
6.650000 17.856384 18.257574 18.546339 18.542179 18.825649 19.237182
7.050000 22.976655 23.268650 23.549165 23.547767 23.805229 24.178353
7.350000 24.526851 24.942021 25.222569 25.205290 25.482322 25.724718
8.000000 28.558996 28.896387 29.155694 29.170731 29.470973 29.775843
