depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.034660 0.179261 0.391984 0.406667 0.608887 0.918521
0.485000 9.803605 10.270912 10.606645 10.612670 10.974119 11.383082
0.615000 11.307257 11.775620 12.145217 12.114868 12.452519 12.731912
0.685000 13.862924 14.282058 14.690919 14.682752 15.064813 15.501667
0.765000 15.618801 16.058956 16.402946 16.395314 16.740428 17.127932
0.805000 16.114211 16.566667 16.904311 16.898322 17.230768 17.685725
0.825000 15.310555 15.745379 16.075270 16.071888 16.406001 16.809050
0.855000 17.384847 17.799739 18.103823 18.096419 18.419060 18.732293
0.905000 18.159967 18.514416 18.816082 18.819895 19.127395 19.528865
0.905000 17.979655 18.339688 18.642979 18.642894 18.940200 19.357664
0.935000 18.195136 18.581166 18.864485 18.877844 19.186262 19.633156
0.945000 17.226595 17.602317 17.934299 17.916576 18.200807 18.574706
0.975000 18.877009 19.236840 19.557884 19.561424 19.882612 20.249549
1.055000 19.329602 19.710768 20.043280 20.038729 20.352351 20.740993
1.165000 20.333501 20.708980 21.029287 21.038999 21.373729 21.789589
