depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.006142 0.039164 0.139200 0.180990 0.318022 0.592810
0.980000 4.757653 5.145625 5.459324 5.450429 5.745810 6.108793
1.100000 5.505757 5.846839 6.132602 6.130392 6.408738 6.777462
1.630000 8.207003 8.563232 8.881703 8.885228 9.203418 9.587416
1.900000 9.018711 9.433047 9.741066 9.747563 10.069492 10.515449
2.250000 11.156165 11.591040 12.007058 11.981961 12.368528 12.669207
2.575000 12.992778 13.312400 13.608031 13.642880 13.965202 14.556289
2.900000 15.518269 15.996847 16.348811 16.343522 16.700588 17.123099
3.100000 17.901561 18.318498 18.632128 18.626989 18.931301 19.341722
3.800000 22.747911 23.107140 23.416656 23.417001 23.710376 24.142399
4.200000 25.833508 26.230114 26.608139 26.600158 26.960712 27.338046
4.500000 27.495963 27.953741 28.389737 28.385437 28.807285 29.370459
4.630000 29.554190 30.048531 30.387880 30.380490 30.731589 31.068564
5.080000 31.815421 32.386031 33.025921 32.980576 33.521239 34.000798
5.425000 32.560900 33.782864 34.496687 34.477960 35.182827 36.046444
5.630000 34.920186 35.571975 36.096416 36.122401 36.662124 37.504124
6.180000 38.588358 39.661633 40.299408 40.250070 40.878658 41.477960
6.500000 40.299932 41.667069 42.511314 42.553910 43.531612 44.747506
6.800000 40.007742 42.088318 43.546837 43.611581 45.261861 47.286767
