depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.457991 0.667276 0.966259 0.995180 1.319384 1.722904
0.040000 0.536011 0.730112 1.031089 1.056839 1.384839 1.816177
0.060000 0.604920 0.802867 1.110159 1.138390 1.486402 1.890418
0.080000 0.688992 0.903860 1.244689 1.290473 1.685827 2.125744
0.100000 0.789428 1.035182 1.417631 1.450259 1.867584 2.295168
0.120000 0.889854 1.154177 1.582570 1.620233 2.087615 2.513100
0.140000 1.001895 1.286822 1.742842 1.791655 2.287668 2.751871
0.160000 1.120328 1.422709 1.943906 1.974333 2.540357 2.975291
0.180000 1.225108 1.557263 2.138092 2.161021 2.754855 3.222189
0.200000 1.336313 1.705499 2.331046 2.348110 2.999276 3.506424
0.240000 1.869336 2.237056 2.979060 2.963468 3.661361 4.175145
0.260000 1.997680 2.388922 3.169901 3.149275 3.852417 4.419768
0.280000 2.127527 2.551755 3.375605 3.350738 4.101096 4.699468
0.300000 2.302379 2.718302 3.586714 3.547264 4.310823 4.929939
0.320000 2.466475 2.924065 3.781452 3.749097 4.510139 5.147815
0.360000 3.130249 3.581013 4.426052 4.397981 5.158581 5.807299
0.380000 3.378152 3.778395 4.604454 4.598839 5.387235 6.002226
0.400000 3.587658 4.006795 4.786641 4.800073 5.602714 6.142147
0.420000 3.791823 4.242481 5.007526 5.002350 5.785051 6.253896
0.440000 4.011320 4.454529 5.182262 5.196791 5.966572 6.419377
0.460000 4.227634 4.706318 5.373986 5.394624 6.137225 6.584066
0.480000 4.465293 4.953766 5.583142 5.589625 6.282209 6.712294
0.500000 4.723816 5.184323 5.759509 5.780978 6.479886 6.866513
0.520000 5.025002 5.413498 5.946348 5.971714 6.585606 6.968919
0.540000 5.259944 5.634131 6.133355 6.152635 6.725441 7.093594
0.560000 5.497846 5.854691 6.298225 6.331595 6.841651 7.182750
0.580000 5.738568 6.082468 6.477556 6.508199 6.967303 7.282985
0.600000 5.975460 6.289664 6.665640 6.684303 7.094845 7.369701
0.620000 6.220417 6.515971 6.856984 6.858656 7.214783 7.463394
0.640000 6.404464 6.742709 7.033233 7.028157 7.331981 7.558702
0.660000 6.638925 6.937360 7.201000 7.190135 7.449468 7.662634
0.680000 6.872703 7.127142 7.357497 7.340568 7.548378 7.763579
0.700000 7.085801 7.318452 7.495215 7.481048 7.631493 7.856269
0.720000 7.211023 7.404632 7.566029 7.558031 7.699938 7.904590
0.740000 7.316007 7.477908 7.633571 7.625218 7.762135 7.960916
0.760000 7.370842 7.534597 7.691636 7.683800 7.821137 8.021129
0.780000 7.423539 7.580905 7.736493 7.732856 7.864142 8.085667
0.800000 7.451399 7.630373 7.780425 7.778457 7.911092 8.125667
