depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 0.024003 0.110235 0.264915 0.278273 0.438871 0.619661
0.015000 0.149723 0.269237 0.416608 0.429016 0.583892 0.782084
0.025000 0.276073 0.407702 0.589063 0.609269 0.798587 1.165397
0.035000 0.390735 0.544232 0.759183 0.810140 1.062973 1.590634
0.045000 0.525038 0.688155 0.959245 1.027212 1.383833 1.963118
0.055000 0.631991 0.850327 1.186801 1.271159 1.701500 2.398057
0.065000 0.773028 1.018552 1.443689 1.536259 2.046373 2.838110
0.075000 0.877375 1.173788 1.708450 1.788531 2.395903 3.231889
0.085000 1.004640 1.334622 1.967373 2.035034 2.736150 3.553670
0.095000 1.134732 1.487342 2.193755 2.260387 2.990206 4.120189
0.105000 1.262312 1.659163 2.409498 2.490069 3.295581 4.330858
0.115000 1.413169 1.856431 2.654330 2.723912 3.610357 4.647917
0.125000 1.546913 2.028158 2.921379 2.959986 3.868695 4.888323
0.135000 1.694203 2.196667 3.147362 3.183118 4.112989 5.191583
0.145000 1.825645 2.383052 3.370851 3.412983 4.415474 5.425328
0.155000 1.967483 2.567017 3.614895 3.628509 4.663887 5.678707
0.165000 2.073020 2.746292 3.848600 3.840396 4.921466 5.820207
0.175000 2.237252 2.942577 4.057944 4.052537 5.147548 6.128662
0.185000 2.438432 3.121953 4.290464 4.280238 5.403737 6.259324
0.195000 2.594448 3.339831 4.521201 4.500572 5.651022 6.411448
0.205000 2.763111 3.601482 4.772043 4.739227 5.915120 6.582818
0.215000 2.927814 3.851478 5.034813 4.987256 6.129631 6.816117
0.225000 3.094805 4.069787 5.320965 5.239622 6.333419 7.018949
0.235000 3.330533 4.370945 5.604810 5.504321 6.536645 7.324367
0.245000 3.643680 4.625427 5.885431 5.776608 6.752839 7.671772
0.255000 3.901726 4.953110 6.185430 6.046535 6.950188 7.913478
0.265000 4.260400 5.317709 6.448469 6.329732 7.195032 8.063042
0.275000 4.538228 5.673644 6.713229 6.614822 7.492575 8.267941
0.285000 4.861814 6.009853 6.982519 6.905768 7.755070 8.555173
0.295000 5.254769 6.322804 7.232786 7.171447 8.030898 8.729354
0.305000 5.547565 6.602828 7.535071 7.442794 8.275940 8.881170
0.315000 5.886821 6.907800 7.808585 7.740829 8.602734 8.995960
0.325000 6.452313 7.226259 8.082433 8.035352 8.830112 9.152088
0.335000 6.758655 7.538703 8.449255 8.298184 8.978789 9.261523
0.345000 7.085175 7.852208 8.776674 8.553485 9.121005 9.398121
0.355000 7.330967 8.146579 8.949193 8.782559 9.252297 9.514730
0.365000 7.642204 8.569983 9.095577 8.968900 9.368003 9.640400
0.375000 7.900329 8.840883 9.226326 9.139154 9.484304 9.739975
0.385000 8.245357 9.014635 9.341226 9.289274 9.591264 9.846606
0.395000 8.797245 9.161148 9.464531 9.433954 9.700029 9.984209
0.405000 8.964458 9.308153 9.584443 9.567786 9.822224 10.116799
0.415000 9.163673 9.463158 9.715372 9.706403 9.939320 10.230531
0.425000 9.374704 9.625612 9.850795 9.846845 10.074305 10.333927
0.435000 9.511327 9.780376 9.990553 9.989019 10.215072 10.454196
0.445000 9.659940 9.918276 10.123903 10.121855 10.336814 10.574993
0.455000 9.767909 10.042603 10.245829 10.244895 10.464616 10.675825
0.465000 9.933461 10.161145 10.359145 10.362429 10.574523 10.790807
0.475000 10.074005 10.281480 10.475697 10.479566 10.696765 10.900808
0.485000 10.204905 10.405597 10.591155 10.599524 10.815678 11.010632
0.495000 10.309646 10.512171 10.717757 10.718818 10.938080 11.125670
0.505000 10.429210 10.627311 10.829731 10.836470 11.054616 11.239465
0.515000 10.532725 10.738619 10.944660 10.952873 11.182286 11.360331
0.525000 10.630341 10.855969 11.062033 11.066955 11.302086 11.473160
0.535000 10.744580 10.970843 11.179238 11.187120 11.425217 11.605474
0.545000 10.869784 11.092997 11.288336 11.299934 11.535085 11.716126
0.555000 11.002740 11.217717 11.403403 11.416122 11.640144 11.818982
0.565000 11.121530 11.341322 11.532652 11.536956 11.751215 11.932777
0.575000 11.270677 11.469311 11.669660 11.669969 11.874636 12.049230
0.585000 11.412155 11.616631 11.800355 11.804633 12.003975 12.179531
0.595000 11.534853 11.762849 11.940827 11.946622 12.147102 12.311157
0.605000 11.719949 11.941076 12.121306 12.121290 12.317319 12.469369
0.615000 12.026209 12.195672 12.381493 12.369694 12.546179 12.665736
0.625000 12.301161 12.478660 12.681198 12.689231 12.889939 13.119511
0.635000 12.512746 12.744415 12.969765 12.976478 13.203714 13.467275
0.645000 12.802930 13.047125 13.254965 13.260263 13.487716 13.719571
0.655000 13.047904 13.296500 13.527554 13.531370 13.757709 14.055856
0.665000 13.303369 13.532318 13.790873 13.804579 14.062993 14.387725
0.675000 13.564517 13.837693 14.119379 14.129256 14.444803 14.723649
0.685000 14.068799 14.279205 14.523958 14.530568 14.797522 15.044768
