depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.003858 0.030245 0.108761 0.132209 0.235190 0.394399
0.100000 0.205090 0.304949 0.455388 0.506582 0.698770 1.129058
0.150000 0.371710 0.508692 0.700074 0.780644 1.059160 1.649467
0.200000 0.566755 0.717409 0.955055 1.057297 1.436384 1.969637
0.300000 0.880165 1.132748 1.501571 1.583290 2.046114 2.661031
0.350000 1.103362 1.368265 1.789270 1.878587 2.406342 3.008815
0.400000 1.304145 1.633271 2.146460 2.183678 2.741695 3.281145
0.500000 1.717046 2.123372 2.740065 2.728356 3.322688 3.779493
0.550000 1.926148 2.380379 3.024986 3.017079 3.621533 4.052444
0.600000 2.200477 2.635962 3.315369 3.291576 3.913551 4.281725
0.650000 2.480252 2.918664 3.629183 3.570778 4.168727 4.498292
0.700000 2.769390 3.253206 3.918022 3.861151 4.420480 4.742659
0.800000 3.333553 3.948228 4.503725 4.427261 4.879474 5.127839
0.850000 3.726586 4.332275 4.795575 4.718937 5.105247 5.335384
0.900000 4.184900 4.704353 5.064620 5.018140 5.331454 5.527045
0.950000 4.791251 5.106997 5.352998 5.333410 5.572228 5.750808
0.980000 5.073938 5.318143 5.514060 5.508518 5.708451 5.870163
1.000000 5.194794 5.435058 5.630470 5.621001 5.815381 5.959449
1.050000 5.472804 5.693153 5.873089 5.868611 6.046273 6.224792
1.100000 5.779951 5.940063 6.118545 6.112779 6.280781 6.466234
1.150000 5.976068 6.172012 6.349507 6.359482 6.551548 6.772203
1.200000 6.174905 6.390145 6.609132 6.612781 6.843076 7.080183
1.250000 6.382719 6.616199 6.854949 6.860992 7.104420 7.343670
1.300000 6.597296 6.856673 7.116356 7.121097 7.364324 7.658992
1.350000 6.815337 7.112480 7.387214 7.376550 7.623948 7.903305
1.400000 7.063338 7.349135 7.631362 7.618329 7.868502 8.142057
1.450000 7.278108 7.584859 7.871088 7.853900 8.101941 8.381656
1.500000 7.525506 7.844071 8.086863 8.094072 8.349051 8.594197
1.550000 7.860401 8.102585 8.329455 8.332205 8.574883 8.790175
1.600000 8.147716 8.358033 8.581923 8.580738 8.814392 8.994779
1.630000 8.339433 8.523636 8.727504 8.733015 8.950175 9.138999
1.650000 8.436179 8.616772 8.823553 8.829944 9.047046 9.227644
1.700000 8.648594 8.840527 9.052118 9.052921 9.266741 9.493861
1.750000 8.845383 9.040776 9.266238 9.265904 9.480393 9.679259
1.800000 9.082218 9.270222 9.483692 9.488050 9.707356 9.913842
1.850000 9.283589 9.473127 9.696090 9.699205 9.913491 10.150285
1.900000 9.519905 9.688744 9.923945 9.919135 10.124035 10.359756
1.950000 9.737568 9.928630 10.170925 10.177036 10.403682 10.740843
2.000000 9.961497 10.164861 10.446328 10.457012 10.727898 11.050602
2.050000 10.185646 10.433372 10.722719 10.732799 11.034997 11.337866
2.100000 10.449289 10.719592 11.007282 11.013864 11.312636 11.588405
2.150000 10.736119 11.010552 11.308096 11.308047 11.604546 11.851510
2.200000 11.092387 11.329286 11.623745 11.618969 11.905882 12.146163
2.250000 11.435047 11.667316 11.916531 11.916982 12.170455 12.398575
2.350000 11.886017 12.150101 12.406947 12.408845 12.657644 12.956847
2.400000 12.128170 12.386990 12.654126 12.651718 12.903681 13.205988
2.450000 12.418598 12.671968 12.928578 12.930733 13.178564 13.513532
2.500000 12.727592 12.958672 13.181927 13.194469 13.424296 13.745971
2.550000 13.041216 13.236464 13.437764 13.455052 13.659432 13.992638
2.575000 13.195307 13.379014 13.585617 13.595747 13.798406 14.092274
