age(kyr) mean(permil) sigma(permil)
0.000000 2.841332 0.104226
0.100000 2.841300 0.100131
0.200000 2.841674 0.096489
0.300000 2.842593 0.093918
0.400000 2.844237 0.093041
0.500000 2.846262 0.094039
0.600000 2.848110 0.096533
0.700000 2.849280 0.099519
0.800000 2.849442 0.102472
0.900000 2.848098 0.105044
1.000000 2.845479 0.107209
1.100000 2.841965 0.108921
1.200000 2.838454 0.109815
1.300000 2.835031 0.109715
1.400000 2.831430 0.108898
1.500000 2.827734 0.108317
1.600000 2.824414 0.108088
1.700000 2.821045 0.107904
1.800000 2.817747 0.107264
1.900000 2.815340 0.106021
2.000000 2.813753 0.104358
2.100000 2.812031 0.102944
2.200000 2.810352 0.101469
2.300000 2.808643 0.099964
2.400000 2.806688 0.099278
2.500000 2.804437 0.099118
2.600000 2.802099 0.098820
2.700000 2.799898 0.098349
2.800000 2.797949 0.097940
2.900000 2.795661 0.097755
3.000000 2.793149 0.098028
3.100000 2.791114 0.098661
3.200000 2.789404 0.099316
3.300000 2.788089 0.099792
3.400000 2.788001 0.100294
3.500000 2.788871 0.101402
3.600000 2.790256 0.102951
3.700000 2.791730 0.104236
3.800000 2.793275 0.105047
3.900000 2.794808 0.105649
4.000000 2.796846 0.106633
4.100000 2.799300 0.107816
4.200000 2.801874 0.108949
4.300000 2.804358 0.109687
4.400000 2.806289 0.109432
4.500000 2.807726 0.109305
4.600000 2.808399 0.109915
4.700000 2.808825 0.110948
4.800000 2.809042 0.112094
4.900000 2.809278 0.113770
5.000000 2.809283 0.116393
5.100000 2.809151 0.119365
5.200000 2.808981 0.122373
5.300000 2.808973 0.125429
5.400000 2.809142 0.127826
5.500000 2.809117 0.129365
5.600000 2.808948 0.130055
5.700000 2.808349 0.128514
5.800000 2.807406 0.124485
5.900000 2.806162 0.119341
6.000000 2.805315 0.114944
6.100000 2.806267 0.111501
6.200000 2.808817 0.110167
6.300000 2.813114 0.112971
6.400000 2.820205 0.118854
6.500000 2.830044 0.124694
6.600000 2.841179 0.130392
6.700000 2.852428 0.135515
6.800000 2.863321 0.138215
6.900000 2.873258 0.140937
7.000000 2.881924 0.145780
7.100000 2.888884 0.153138
7.200000 2.895005 0.161941
7.300000 2.900322 0.169795
7.400000 2.903704 0.178967
7.500000 2.904965 0.190680
7.600000 2.904471 0.193461
7.700000 2.903188 0.185054
7.800000 2.901115 0.169071
7.900000 2.899351 0.156395
8.000000 2.898749 0.152087
8.100000 2.899825 0.161539
8.200000 2.902427 0.187148
8.300000 2.907476 0.213560
8.400000 2.915973 0.234214
8.500000 2.928611 0.248506
8.600000 2.944426 0.228090
8.700000 2.960901 0.183501
8.800000 2.977233 0.159978
8.900000 2.992208 0.144744
9.000000 3.004133 0.137440
9.100000 3.013848 0.132270
9.200000 3.023133 0.128800
9.300000 3.032157 0.120092
9.400000 3.041089 0.117290
9.500000 3.050718 0.113976
9.600000 3.060949 0.113632
9.700000 3.070895 0.114201
9.800000 3.080353 0.117456
9.900000 3.089529 0.121254
10.000000 3.097652 0.126026
10.100000 3.103688 0.134011
10.200000 3.108398 0.139687
10.300000 3.111399 0.136264
10.400000 3.111427 0.140706
10.500000 3.108529 0.145007
10.600000 3.103847 0.146807
10.700000 3.098697 0.145010
10.800000 3.093699 0.142727
10.900000 3.089459 0.141015
11.000000 3.087143 0.144227
11.100000 3.087831 0.147058
11.200000 3.090600 0.150184
11.300000 3.096077 0.152867
11.400000 3.105923 0.156606
11.500000 3.120450 0.162129
11.600000 3.138157 0.170841
11.700000 3.157482 0.182654
11.800000 3.178333 0.186928
11.900000 3.201087 0.186013
12.000000 3.225608 0.187926
12.100000 3.251704 0.194193
12.200000 3.278407 0.199185
12.300000 3.305346 0.200927
12.400000 3.332289 0.202746
12.500000 3.359639 0.203380
12.600000 3.386618 0.197101
12.700000 3.413315 0.185346
12.800000 3.439895 0.172771
12.900000 3.465366 0.164373
13.000000 3.488989 0.158457
13.100000 3.510740 0.152901
13.200000 3.531084 0.151585
13.300000 3.549131 0.151751
13.400000 3.563725 0.151978
13.500000 3.573884 0.152034
13.600000 3.580421 0.154032
13.700000 3.585243 0.159499
13.800000 3.588575 0.170972
13.900000 3.591626 0.189007
14.000000 3.595319 0.212167
14.100000 3.600554 0.236721
14.200000 3.606873 0.257188
14.300000 3.614958 0.272610
14.400000 3.624801 0.283774
14.500000 3.636598 0.291489
14.600000 3.650033 0.299460
14.700000 3.664077 0.307738
14.800000 3.678795 0.315031
14.900000 3.694363 0.320363
15.000000 3.710942 0.323570
15.100000 3.728016 0.324279
15.200000 3.745120 0.321761
15.300000 3.762077 0.316205
15.400000 3.778536 0.308289
15.500000 3.793969 0.297906
15.600000 3.807544 0.289241
15.700000 3.820294 0.281491
15.800000 3.831667 0.275827
15.900000 3.840768 0.275740
16.000000 3.846579 0.284272
16.100000 3.849770 0.299762
16.200000 3.851786 0.318693
16.300000 3.852778 0.337414
16.400000 3.853934 0.351707
16.500000 3.856716 0.360409
16.600000 3.862792 0.368693
16.700000 3.870977 0.378888
16.800000 3.881847 0.392091
16.900000 3.896507 0.403725
17.000000 3.915680 0.413411
17.100000 3.938120 0.423207
17.200000 3.962250 0.431740
17.300000 3.988013 0.433288
17.400000 4.015330 0.426058
17.500000 4.044240 0.409541
17.600000 4.074042 0.385866
17.700000 4.104199 0.357998
17.800000 4.134281 0.328026
17.900000 4.162756 0.297470
18.000000 4.188180 0.269123
18.100000 4.209721 0.245624
18.200000 4.228703 0.228008
18.300000 4.244585 0.223431
18.400000 4.256813 0.237869
18.500000 4.265203 0.271793
18.600000 4.271189 0.326356
18.700000 4.276681 0.388919
18.800000 4.282642 0.451411
18.900000 4.290419 0.482449
19.000000 4.300855 0.466902
19.100000 4.313759 0.420459
19.200000 4.327672 0.350455
19.300000 4.342331 0.278921
19.400000 4.357238 0.223768
19.500000 4.371520 0.182697
19.600000 4.384526 0.154382
19.700000 4.396145 0.136001
19.800000 4.406054 0.122178
19.900000 4.412894 0.112247
20.000000 4.415555 0.105939
20.100000 4.414680 0.102774
20.200000 4.411857 0.102106
20.300000 4.406376 0.102953
20.400000 4.397680 0.104783
20.500000 4.385670 0.107584
20.600000 4.370970 0.111017
20.700000 4.355145 0.115407
20.800000 4.338394 0.122581
20.900000 4.321109 0.132489
21.000000 4.304151 0.144104
21.100000 4.288317 0.157029
21.200000 4.273364 0.171237
21.300000 4.259791 0.189206
21.400000 4.248229 0.209407
21.500000 4.238859 0.225104
21.600000 4.231098 0.232117
21.700000 4.224180 0.228277
21.800000 4.218373 0.219655
21.900000 4.213899 0.212033
22.000000 4.211255 0.207321
22.100000 4.210073 0.204352
22.200000 4.209746 0.200689
22.300000 4.210022 0.197765
22.400000 4.210819 0.196230
22.500000 4.211515 0.194953
22.600000 4.211765 0.193400
22.700000 4.211705 0.191764
22.800000 4.211321 0.190186
22.900000 4.210599 0.188017
23.000000 4.209351 0.185485
23.100000 4.208312 0.182824
23.200000 4.207090 0.179772
23.300000 4.205486 0.176518
23.400000 4.203076 0.173336
23.500000 4.200171 0.169799
23.600000 4.196594 0.166029
23.700000 4.192823 0.162686
23.800000 4.188725 0.159868
23.900000 4.185531 0.157450
24.000000 4.183060 0.155302
24.100000 4.180984 0.153509
24.200000 4.179311 0.151904
24.300000 4.178710 0.150444
24.400000 4.178221 0.149242
24.500000 4.178104 0.148327
24.600000 4.178977 0.147818
24.700000 4.180375 0.147483
24.800000 4.181805 0.147199
24.900000 4.183802 0.147030
25.000000 4.186433 0.146924
25.100000 4.189087 0.146738
25.200000 4.191496 0.146498
25.300000 4.194241 0.146439
25.400000 4.197062 0.146702
25.500000 4.200103 0.147326
25.600000 4.203388 0.148140
25.700000 4.206808 0.148890
25.800000 4.209888 0.149378
25.900000 4.212191 0.149481
26.000000 4.213592 0.149310
26.100000 4.213766 0.148844
26.200000 4.213511 0.148241
26.300000 4.212245 0.147614
26.400000 4.209661 0.147063
26.500000 4.205163 0.146681
26.600000 4.198935 0.146503
26.700000 4.191535 0.146374
26.800000 4.183281 0.146598
26.900000 4.173966 0.147529
27.000000 4.163470 0.149263
27.100000 4.152142 0.151842
27.200000 4.140227 0.154882
27.300000 4.127995 0.158245
27.400000 4.115625 0.161909
27.500000 4.102996 0.165621
27.600000 4.090746 0.169118
27.700000 4.078732 0.172244
27.800000 4.066915 0.175090
27.900000 4.055884 0.177864
28.000000 4.046369 0.180280
28.100000 4.037629 0.182090
28.200000 4.029491 0.183560
28.300000 4.022213 0.185074
28.400000 4.015853 0.186722
28.500000 4.010242 0.188063
28.600000 4.005317 0.188911
28.700000 4.000984 0.189318
28.800000 3.997076 0.189534
28.900000 3.993476 0.189819
29.000000 3.990211 0.190506
29.100000 3.987329 0.191705
29.200000 3.984467 0.193063
29.300000 3.981560 0.194331
29.400000 3.978703 0.195405
29.500000 3.975957 0.196340
29.600000 3.973444 0.197279
29.700000 3.971161 0.198314
29.800000 3.969053 0.199434
29.900000 3.967131 0.200574
30.000000 3.965390 0.201700
30.100000 3.963931 0.202838
30.200000 3.962623 0.203958
30.300000 3.961598 0.205108
30.400000 3.960897 0.206336
30.500000 3.960532 0.207660
30.600000 3.960317 0.209047
30.700000 3.960085 0.210422
30.800000 3.959820 0.211788
30.900000 3.959556 0.213166
31.000000 3.959305 0.214566
31.100000 3.958935 0.215958
31.200000 3.958435 0.217327
31.300000 3.957727 0.218683
31.400000 3.956737 0.220048
31.500000 3.955434 0.221425
31.600000 3.953737 0.222820
31.700000 3.951803 0.224189
31.800000 3.949582 0.225531
31.900000 3.946936 0.226845
32.000000 3.943681 0.228167
32.100000 3.940019 0.229471
32.200000 3.936074 0.230729
32.300000 3.931815 0.231946
32.400000 3.927227 0.233110
32.500000 3.922207 0.234227
32.600000 3.916797 0.235291
32.700000 3.911309 0.236288
32.800000 3.905796 0.237215
32.900000 3.900228 0.238096
33.000000 3.894601 0.238921
33.100000 3.889156 0.239682
33.200000 3.883889 0.240379
33.300000 3.878766 0.241012
33.400000 3.873807 0.241591
33.500000 3.869247 0.242144
33.600000 3.864921 0.242677
33.700000 3.860812 0.243145
33.800000 3.857048 0.243570
33.900000 3.853571 0.243974
34.000000 3.850469 0.244374
34.100000 3.847767 0.244761
34.200000 3.845089 0.245097
34.300000 3.842422 0.245395
34.400000 3.839924 0.245666
34.500000 3.837490 0.245941
34.600000 3.835070 0.246191
34.700000 3.832594 0.246382
34.800000 3.830059 0.246516
34.900000 3.827355 0.246634
35.000000 3.824509 0.246722
35.100000 3.821490 0.246781
35.200000 3.818478 0.246779
35.300000 3.815473 0.246714
35.400000 3.812535 0.246579
35.500000 3.809745 0.246387
35.600000 3.807177 0.246142
35.700000 3.804756 0.245835
35.800000 3.802427 0.245461
35.900000 3.800428 0.245056
36.000000 3.798913 0.244651
36.100000 3.797681 0.244204
36.200000 3.796577 0.243695
36.300000 3.795646 0.243129
36.400000 3.794858 0.242511
36.500000 3.794119 0.241825
36.600000 3.793464 0.241076
36.700000 3.792867 0.240263
36.800000 3.792346 0.239390
36.900000 3.791880 0.238453
37.000000 3.791539 0.237474
37.100000 3.791365 0.236468
37.200000 3.791311 0.235427
37.300000 3.791412 0.234354
37.400000 3.791711 0.233270
37.500000 3.792206 0.232182
37.600000 3.792762 0.231051
37.700000 3.793350 0.229870
37.800000 3.794034 0.228659
37.900000 3.794795 0.227414
38.000000 3.795664 0.226144
38.100000 3.796771 0.224882
38.200000 3.798014 0.223602
38.300000 3.799423 0.222311
38.400000 3.801169 0.221051
38.500000 3.803279 0.219832
38.600000 3.805641 0.218639
38.700000 3.808170 0.217451
38.800000 3.810859 0.216264
38.900000 3.813883 0.215107
39.000000 3.817285 0.213990
39.100000 3.821041 0.212899
39.200000 3.824949 0.211800
39.300000 3.829009 0.210696
39.400000 3.833155 0.209593
39.500000 3.837606 0.208503
39.600000 3.842263 0.207418
39.700000 3.847070 0.206315
39.800000 3.851961 0.205194
39.900000 3.856840 0.204062
40.000000 3.861664 0.202926
40.100000 3.866420 0.201794
40.200000 3.871073 0.200654
40.300000 3.875581 0.199525
40.400000 3.879888 0.198445
40.500000 3.883756 0.197490
40.600000 3.887306 0.196619
40.700000 3.890647 0.195801
40.800000 3.893810 0.195045
40.900000 3.896780 0.194345
41.000000 3.899543 0.193768
41.100000 3.902116 0.193297
41.200000 3.904636 0.192829
41.300000 3.907131 0.192381
41.400000 3.909707 0.191973
41.500000 3.912318 0.191624
41.600000 3.914917 0.191334
41.700000 3.917554 0.191024
41.800000 3.920266 0.190679
41.900000 3.923025 0.190337
42.000000 3.926080 0.190011
42.100000 3.929382 0.189672
42.200000 3.932798 0.189304
42.300000 3.936421 0.188939
42.400000 3.940218 0.188605
42.500000 3.944138 0.188302
42.600000 3.948255 0.188039
42.700000 3.952385 0.187768
42.800000 3.956493 0.187496
42.900000 3.960619 0.187260
43.000000 3.964640 0.187104
43.100000 3.968548 0.186995
43.200000 3.972367 0.186842
43.300000 3.975967 0.186673
43.400000 3.979316 0.186540
43.500000 3.982391 0.186460
43.600000 3.985194 0.186427
43.700000 3.987830 0.186367
43.800000 3.990186 0.186300
43.900000 3.992198 0.186241
44.000000 3.993743 0.186224
44.100000 3.994910 0.186232
44.200000 3.995969 0.186248
44.300000 3.996726 0.186278
44.400000 3.996999 0.186345
44.500000 3.996644 0.186473
44.600000 3.995700 0.186657
44.700000 3.994572 0.186860
44.800000 3.993437 0.187056
44.900000 3.992154 0.187253
45.000000 3.990711 0.187451
45.100000 3.989106 0.187660
45.200000 3.987480 0.187817
45.300000 3.986060 0.187914
45.400000 3.984866 0.187972
45.500000 3.983947 0.187967
45.600000 3.983354 0.187879
45.700000 3.982675 0.187735
45.800000 3.981955 0.187582
45.900000 3.981381 0.187433
46.000000 3.980885 0.187277
46.100000 3.980429 0.187151
46.200000 3.979981 0.187021
46.300000 3.979569 0.186873
46.400000 3.979262 0.186694
46.500000 3.979303 0.186461
46.600000 3.979664 0.186221
46.700000 3.980368 0.185983
46.800000 3.981387 0.185718
46.900000 3.982625 0.185418
47.000000 3.984076 0.185134
47.100000 3.985900 0.184813
47.200000 3.987973 0.184419
47.300000 3.990184 0.183986
47.400000 3.992482 0.183574
47.500000 3.995065 0.183089
47.600000 3.997548 0.182596
47.700000 3.999950 0.182089
47.800000 4.002129 0.181605
47.900000 4.004252 0.181094
48.000000 4.006364 0.180578
48.100000 4.008563 0.179999
48.200000 4.010664 0.179415
48.300000 4.012665 0.178850
48.400000 4.014515 0.178345
48.500000 4.016050 0.177944
48.600000 4.017253 0.177662
48.700000 4.018296 0.177414
48.800000 4.019097 0.177217
48.900000 4.019645 0.177076
49.000000 4.019884 0.177049
49.100000 4.019816 0.177112
49.200000 4.019611 0.177195
49.300000 4.019313 0.177334
49.400000 4.018923 0.177559
49.500000 4.018316 0.177870
49.600000 4.017530 0.178276
49.700000 4.016620 0.178699
49.800000 4.015590 0.179133
49.900000 4.014270 0.179636
50.000000 4.012700 0.180231
50.100000 4.010992 0.180891
50.200000 4.009155 0.181581
50.300000 4.007192 0.182291
50.400000 4.005140 0.183026
50.500000 4.002918 0.183833
50.600000 4.000631 0.184667
50.700000 3.998302 0.185482
