depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.039094 0.226021 0.508079
0.080000 0.308647 0.648036 1.173273
0.130000 0.578029 1.051500 1.795727
0.180000 0.864012 1.524568 2.293028
0.230000 1.232680 1.952734 2.836882
0.280000 1.462949 2.336373 3.224356
0.330000 2.001520 2.734524 3.500796
0.380000 2.383506 3.125729 3.925233
0.430000 2.810445 3.542290 4.333449
0.480000 3.123572 3.962365 4.669171
0.530000 3.715670 4.328318 5.066284
0.580000 4.013174 4.685687 5.372702
0.630000 4.254680 5.052693 5.742311
0.680000 4.491396 5.344457 6.056120
0.730000 4.772452 5.692182 6.492172
0.780000 5.224321 6.064578 6.986829
0.830000 5.570705 6.455213 7.221095
0.880000 5.920225 6.844495 7.354045
0.930000 6.328388 7.140916 7.769591
0.980000 6.909433 7.449391 8.039451
1.030000 7.427601 7.720516 8.197299
1.080000 7.675540 8.045256 8.502890
1.130000 7.930493 8.305347 8.754428
1.180000 8.185454 8.541476 8.977715
1.230000 8.359118 8.779563 9.246877
1.280000 8.641368 9.023287 9.456324
1.330000 8.885850 9.292257 9.707474
1.380000 9.096934 9.556804 9.976152
1.430000 9.438113 9.812152 10.233276
1.480000 9.729258 10.069538 10.455687
1.530000 9.999363 10.340408 10.866053
1.580000 10.234941 10.649125 11.078256
1.630000 10.468122 10.902799 11.344579
1.680000 10.697065 11.191456 11.648302
1.730000 11.063682 11.488933 11.999921
1.780000 11.344198 11.846735 12.287811
1.830000 11.864170 12.312333 12.823675
1.880000 12.327626 12.730241 13.223847
1.930000 12.574239 13.068453 13.417181
1.980000 12.744630 13.332012 13.784215
2.030000 13.139429 13.595002 14.069883
2.080000 13.442158 13.867646 14.333665
2.130000 13.709313 14.158733 14.658203
2.180000 13.960662 14.439802 14.954144
2.230000 14.328275 14.829023 15.357103
2.280000 14.624637 15.294602 15.894877
2.330000 15.105243 15.771291 16.511145
2.380000 15.906840 16.419388 17.173434
2.430000 16.622172 17.071732 17.759438
2.480000 16.997045 17.587153 18.195035
2.530000 17.598392 18.083506 18.719305
2.580000 17.891228 18.557895 19.185339
2.630000 18.364663 18.964008 19.692242
2.680000 18.996500 19.478782 20.064567
2.730000 19.411345 20.002632 20.581317
2.780000 19.816457 20.640998 21.228680
2.830000 20.552915 21.244623 21.712665
2.880000 21.086543 21.850825 22.355245
2.930000 21.850388 22.444434 22.946719
2.980000 22.470937 23.030059 23.551486
3.030000 22.850511 23.557732 24.150571
3.080000 23.211414 24.079011 24.824993
3.130000 23.497128 24.591189 25.444307
3.180000 23.740088 25.082453 25.950996
3.230000 24.101252 25.551885 26.427554
3.280000 24.360542 26.077928 27.105236
3.330000 24.897620 26.478414 27.515227
3.380000 25.599494 26.899852 27.920266
3.430000 25.976827 27.323627 28.454460
3.480000 26.618558 27.869489 28.862854
3.530000 27.177706 28.300486 29.311048
3.580000 27.627423 28.678203 29.840323
3.630000 28.117137 29.098849 30.317993
3.680000 28.814528 29.710555 30.808387
3.730000 29.208329 30.156835 31.222016
3.780000 29.538891 30.724446 31.824902
3.830000 30.069605 31.200579 32.352352
3.880000 30.552213 31.757550 32.879818
3.930000 31.006079 32.293547 33.375579
3.980000 31.702130 32.809467 33.849704
4.030000 32.393294 33.273654 34.373761
4.080000 32.927033 33.795778 34.821662
4.130000 33.467490 34.300518 35.311497
4.180000 33.902125 34.833260 35.779483
4.230000 34.511084 35.301724 36.232752
4.280000 35.042033 35.782888 36.779949
4.330000 35.493226 36.237750 37.094903
4.380000 35.902544 36.752727 37.573896
4.430000 36.261820 37.205186 37.964413
4.480000 36.619821 37.600308 38.300257
4.530000 36.891984 38.020406 38.799888
4.630000 37.604760 38.764364 39.949264
4.680000 37.802977 39.176502 40.262688
4.730000 38.112584 39.525559 40.809577
4.780000 38.515885 39.889203 41.157327
4.830000 38.881346 40.207924 41.653913
4.880000 39.108004 40.555217 42.185085
4.930000 39.406533 40.924314 42.439108
4.980000 39.658312 41.396952 42.866877
5.030000 40.063117 41.706475 43.115152
5.080000 40.597318 42.090915 43.381212
5.130000 40.981936 42.493188 43.574701
5.180000 41.384588 42.850220 43.773568
5.230000 41.701560 43.181989 44.069743
5.280000 42.321893 43.462068 44.321953
5.330000 42.779628 43.758111 44.579766
5.380000 43.327828 44.156954 44.790510
5.430000 43.796450 44.575923 45.258695
5.480000 44.291586 44.956399 45.520581
5.530000 44.797433 45.287042 46.035792
5.580000 45.210360 45.746235 46.626716
5.630000 45.612406 46.191529 47.009106
5.680000 45.930493 46.671463 47.394576
5.730000 46.206688 47.079950 47.738917
5.780000 46.784023 47.519504 48.137421
5.830000 47.195787 48.016460 48.571385
5.880000 47.679858 48.400500 48.926285
5.930000 48.079971 48.770625 49.247249
5.980000 48.412203 49.127901 49.641733
6.030000 48.736255 49.338196 49.820060
6.080000 48.933274 49.601648 50.188973
6.130000 49.117216 49.848349 50.367225
6.180000 49.418584 50.109195 50.563940
6.230000 49.662969 50.332676 50.902493
6.280000 49.992582 50.662553 51.268748
6.330000 50.205000 50.944386 51.787564
6.380000 50.455795 51.189864 51.994341
6.430000 50.703567 51.470247 52.354482
6.480000 50.967766 51.754485 52.755156
6.530000 51.437671 52.108919 53.026614
6.580000 51.831711 52.535107 53.411134
6.630000 52.141682 52.928596 53.641266
6.680000 52.453788 53.243371 53.921810
