age(kyr) mean(permil) sigma(permil)
0.000000 3.248859 0.193683
0.100000 3.292847 0.107475
0.200000 3.289524 0.101636
0.300000 3.282433 0.099540
0.400000 3.275693 0.097094
0.500000 3.274403 0.095814
0.600000 3.269553 0.096719
0.700000 3.265345 0.097999
0.800000 3.261913 0.098010
0.900000 3.258266 0.097489
1.000000 3.254884 0.097079
1.100000 3.252066 0.096084
1.200000 3.249680 0.096005
1.300000 3.247608 0.096360
1.400000 3.245850 0.096380
1.500000 3.244437 0.096581
1.600000 3.243222 0.096779
1.700000 3.242338 0.097455
1.800000 3.241467 0.097617
1.900000 3.240584 0.097965
2.000000 3.239499 0.097845
2.100000 3.237817 0.099271
2.200000 3.235899 0.100206
2.300000 3.233691 0.101259
2.400000 3.231077 0.102822
2.500000 3.228569 0.103310
2.600000 3.227161 0.104276
2.700000 3.226207 0.104359
2.800000 3.225554 0.105137
2.900000 3.224991 0.104992
3.000000 3.224980 0.104754
3.100000 3.222199 0.105450
3.200000 3.221140 0.106305
3.300000 3.218513 0.106635
3.400000 3.215837 0.106799
3.500000 3.213998 0.107160
3.600000 3.210940 0.107535
3.700000 3.208796 0.107597
3.800000 3.207042 0.107757
3.900000 3.205594 0.107959
4.000000 3.204427 0.107751
4.100000 3.205345 0.108355
4.200000 3.207707 0.108548
4.300000 3.209336 0.107633
4.400000 3.211524 0.107375
4.500000 3.212427 0.107381
4.600000 3.213301 0.107462
4.700000 3.215908 0.107463
4.800000 3.215704 0.106666
4.900000 3.217418 0.106659
5.000000 3.218870 0.106612
5.100000 3.221449 0.105271
5.200000 3.223604 0.104539
5.300000 3.225235 0.103641
5.400000 3.226668 0.102759
5.500000 3.227999 0.102186
5.600000 3.229022 0.101812
5.700000 3.229544 0.101664
5.800000 3.230162 0.101570
5.900000 3.231431 0.101225
6.000000 3.232634 0.101099
6.100000 3.234009 0.101089
6.200000 3.236079 0.100916
6.300000 3.238224 0.100986
6.400000 3.240863 0.101081
6.500000 3.244021 0.101194
6.600000 3.247699 0.101311
6.700000 3.251865 0.101417
6.800000 3.256462 0.101497
6.900000 3.261412 0.101543
7.000000 3.266616 0.101555
7.100000 3.271972 0.101543
7.200000 3.277390 0.101524
7.300000 3.282798 0.101522
7.400000 3.288147 0.101561
7.500000 3.293418 0.101660
7.600000 3.298620 0.101834
7.700000 3.303792 0.102083
7.800000 3.308996 0.102395
7.900000 3.314305 0.102750
8.000000 3.319790 0.103122
8.100000 3.325512 0.103485
8.200000 3.331513 0.103814
8.300000 3.337817 0.104086
8.400000 3.344431 0.104288
8.500000 3.351348 0.104413
8.600000 3.358550 0.104462
8.700000 3.366024 0.104443
8.800000 3.373760 0.104370
8.900000 3.381752 0.104257
9.000000 3.389991 0.104118
9.100000 3.398472 0.103968
9.200000 3.407199 0.103814
9.300000 3.416193 0.103660
9.400000 3.425484 0.103502
9.500000 3.435108 0.103337
9.600000 3.445100 0.103170
9.700000 3.455506 0.103018
9.800000 3.466378 0.102902
9.900000 3.477770 0.102849
10.000000 3.489744 0.102875
10.100000 3.502346 0.102986
10.200000 3.515596 0.103172
10.300000 3.529494 0.103411
10.400000 3.544015 0.103683
10.500000 3.559126 0.103970
10.600000 3.574792 0.104268
10.700000 3.590981 0.104583
10.800000 3.607672 0.104929
10.900000 3.624860 0.105316
11.000000 3.642544 0.105741
11.100000 3.660709 0.106184
11.200000 3.679330 0.106613
11.300000 3.698356 0.106993
11.400000 3.717707 0.107289
11.500000 3.737267 0.107472
11.600000 3.756916 0.107519
11.700000 3.776537 0.107425
11.800000 3.796028 0.107196
11.900000 3.815296 0.106849
12.000000 3.834256 0.106401
12.100000 3.852827 0.105873
12.200000 3.870931 0.105293
12.300000 3.888504 0.104691
12.400000 3.905509 0.104098
12.500000 3.921937 0.103538
12.600000 3.937809 0.103037
12.700000 3.953182 0.102611
12.800000 3.968142 0.102270
12.900000 3.982788 0.102004
13.000000 3.997218 0.101799
13.100000 4.011511 0.101637
13.200000 4.025723 0.101514
13.300000 4.039898 0.101435
13.400000 4.054091 0.101412
13.500000 4.068373 0.101456
13.600000 4.082829 0.101577
13.700000 4.097543 0.101778
13.800000 4.112593 0.102052
13.900000 4.128056 0.102385
14.000000 4.144003 0.102756
14.100000 4.160498 0.103140
14.200000 4.177585 0.103514
14.300000 4.195286 0.103855
14.400000 4.213594 0.104138
14.500000 4.232486 0.104344
14.600000 4.251922 0.104457
14.700000 4.271866 0.104478
14.800000 4.292285 0.104424
14.900000 4.313182 0.104322
15.000000 4.334588 0.104206
15.100000 4.356545 0.104120
15.200000 4.379088 0.104105
15.300000 4.402246 0.104196
15.400000 4.426040 0.104413
15.500000 4.450467 0.104748
15.600000 4.475497 0.105171
15.700000 4.501058 0.105640
15.800000 4.527043 0.106112
15.900000 4.553323 0.106555
16.000000 4.579766 0.106949
16.100000 4.606261 0.107280
16.200000 4.632694 0.107534
16.300000 4.658924 0.107696
16.400000 4.684788 0.107752
16.500000 4.710121 0.107696
