depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.140000 1.289371 2.960335 4.895230
0.160000 1.354865 3.088851 4.977416
0.240000 1.928635 3.653777 5.425946
0.320000 2.406661 4.124985 5.876437
0.360000 2.615071 4.336945 6.058080
0.420000 3.052644 4.635955 6.385783
0.480000 3.497586 4.983780 6.648593
0.560000 4.308247 5.473395 7.011148
0.640000 5.059335 6.008675 7.296323
0.720000 5.772761 6.583615 7.768254
0.790000 6.202580 7.117148 8.467559
0.800000 6.320770 7.210653 8.583688
0.840000 6.673807 7.589624 8.993892
0.940000 7.706863 8.474127 9.375647
0.980000 8.115041 8.879103 9.628500
1.000000 8.284965 9.021266 9.784697
1.020000 8.431264 9.219499 9.858585
1.040000 8.688570 9.425494 10.053611
1.060000 8.890628 9.573244 10.173193
1.100000 9.449560 10.006443 10.509017
1.120000 9.596822 10.176605 10.661294
1.130000 9.679385 10.256024 10.713772
1.140000 9.751619 10.345023 10.787486
1.160000 10.011617 10.520047 10.926315
1.180000 10.195600 10.734328 11.174752
1.200000 10.379406 10.935106 11.338169
1.220000 10.681735 11.124131 11.539559
1.260000 11.131641 11.537631 11.950143
1.300000 11.583628 11.983792 12.529940
1.320000 11.739693 12.170331 12.691262
1.340000 11.897856 12.338930 12.880152
1.360000 12.116391 12.526314 12.992909
1.380000 12.285825 12.707475 13.130746
1.400000 12.407757 12.830120 13.308473
1.460000 12.755062 13.183264 13.658311
1.480000 12.857987 13.320641 13.777376
1.500000 13.026518 13.461919 13.953738
1.540000 13.392329 13.788572 14.337382
1.560000 13.510719 13.911749 14.487140
1.620000 13.850200 14.350548 14.858595
1.660000 14.103499 14.685182 15.059836
1.680000 14.230136 14.846598 15.223711
1.700000 14.408029 15.007005 15.307478
1.720000 14.518253 15.159067 15.476912
1.780000 14.989381 15.475278 15.732195
1.820000 15.326990 15.745638 16.012838
1.840000 15.503979 15.852825 16.141354
1.860000 15.724472 16.006403 16.264397
1.900000 15.911221 16.235068 16.593597
1.940000 16.034865 16.467973 16.885956
1.980000 16.170276 16.690588 17.133481
2.020000 16.481220 16.917040 17.435719
2.060000 16.744977 17.122978 17.620528
2.100000 16.889999 17.305496 17.788535
2.180000 17.285748 17.715938 18.180748
2.220000 17.411224 17.927071 18.353775
2.260000 17.636831 18.151545 18.551833
2.300000 17.877425 18.353938 18.734799
2.340000 18.065057 18.582093 18.881025
2.420000 18.455006 19.011243 19.302692
2.440000 18.581473 19.141379 19.456210
2.460000 18.644442 19.254767 19.587804
2.480000 18.748667 19.366219 19.726725
2.500000 18.915875 19.463202 19.942306
2.520000 19.023319 19.566631 20.005770
2.620000 19.506755 20.011549 20.451098
2.640000 19.641137 20.104604 20.513160
2.660000 19.705992 20.179852 20.632562
2.780000 20.144270 20.683205 21.072469
2.860000 20.412981 20.997873 21.408116
2.900000 20.590109 21.180674 21.775977
2.980000 20.957253 21.469987 21.934073
3.060000 21.318273 21.811782 22.375837
3.100000 21.478177 21.973149 22.697163
3.120000 21.591011 22.062302 22.858865
3.140000 21.631267 22.200171 22.951799
3.180000 21.789802 22.447115 23.202961
3.220000 21.959230 22.740891 23.552615
3.260000 22.216639 23.042680 23.924647
3.300000 22.413642 23.337710 24.325411
3.320000 22.526014 23.539596 24.442102
3.340000 22.704422 23.730401 24.598469
3.360000 22.892690 23.932663 24.732523
3.400000 23.150343 24.253598 25.024570
3.420000 23.258843 24.395454 25.336572
3.440000 23.408603 24.520244 25.505683
3.460000 23.641682 24.641443 25.649948
3.480000 23.787510 24.795904 25.718879
3.500000 23.995550 24.944306 25.862121
3.520000 24.150129 25.116806 25.978981
3.540000 24.360193 25.266491 26.100735
3.580000 24.703629 25.501059 26.289579
3.620000 25.073452 25.710308 26.707662
3.660000 25.433107 26.004236 26.863551
3.700000 25.711401 26.325872 27.122230
3.720000 26.018453 26.494752 27.352664
3.780000 26.584967 27.023090 27.841148
3.840000 27.027303 27.517049 28.357081
3.860000 27.110202 27.668861 28.507988
3.880000 27.285997 27.839714 28.607585
3.900000 27.480215 28.030439 28.758195
3.940000 27.757750 28.369595 29.107742
3.980000 28.011911 28.679496 29.385361
4.020000 28.365242 29.066479 29.737982
4.060000 28.673166 29.439612 30.084398
4.100000 29.130027 29.802802 30.425223
4.140000 29.315605 30.104849 30.619050
4.160000 29.478969 30.272437 30.776043
4.200000 29.886610 30.568057 31.090915
4.220000 30.015199 30.725228 31.256334
4.240000 30.123151 30.888595 31.445847
4.300000 30.563647 31.222201 31.999993
4.380000 31.100897 31.752996 32.594754
4.460000 31.479722 32.341941 33.248044
4.480000 31.605964 32.465235 33.470573
4.500000 31.693107 32.615738 33.646646
4.520000 31.844477 32.796851 33.778621
4.580000 32.268120 33.190625 34.018674
4.620000 32.464667 33.451301 34.274699
4.660000 32.674080 33.700853 34.460560
