depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.050000 0.001343 0.060961 0.206126
0.100000 0.088727 0.191361 0.331890
0.150000 0.196471 0.327008 0.488060
0.170000 0.247268 0.383048 0.558071
0.200000 0.321826 0.470687 0.686104
0.250000 0.435793 0.593993 0.760918
0.290000 0.521014 0.702969 0.845594
0.300000 0.561631 0.736850 0.880606
0.350000 0.697538 0.878912 1.039947
0.400000 0.818372 1.017037 1.193197
0.450000 0.954105 1.169357 1.336023
0.490000 1.114243 1.302760 1.465428
0.530000 1.202627 1.418301 1.586197
0.540000 1.235227 1.449047 1.624054
0.590000 1.391641 1.595072 1.804832
0.640000 1.553891 1.766938 1.997456
0.650000 1.601013 1.801850 2.078388
0.690000 1.712687 1.959166 2.319011
0.740000 1.882946 2.139195 2.617382
0.750000 1.927800 2.183771 2.716922
0.790000 2.108871 2.499613 2.970601
0.840000 2.346911 2.831688 3.431855
0.890000 2.678675 3.169831 3.769395
0.940000 2.861639 3.438469 4.067702
0.990000 3.164584 3.700831 4.163932
1.010000 3.303093 3.799073 4.255150
1.030000 3.389409 3.911890 4.336216
1.080000 3.696954 4.200711 4.515256
1.130000 3.994038 4.433606 4.849674
1.180000 4.279608 4.666960 5.171831
1.230000 4.511428 4.947148 5.457909
1.280000 4.766409 5.273988 5.812788
1.330000 5.046845 5.582051 6.158793
1.380000 5.393957 5.908279 6.460202
1.430000 5.775905 6.212744 6.744020
1.500000 6.186110 6.630930 7.139103
1.550000 6.413265 6.927117 7.423588
1.580000 6.589013 7.090299 7.559127
1.600000 6.697288 7.211805 7.676578
1.650000 7.056049 7.464713 8.149818
1.700000 7.217810 7.753689 8.331578
1.750000 7.435968 8.015181 8.561022
1.800000 7.589392 8.281402 8.702147
1.850000 7.752349 8.502274 8.936569
1.860000 7.836490 8.521668 8.987943
1.900000 8.047788 8.710927 9.117455
2.010000 8.914663 9.233946 9.562838
2.020000 8.952285 9.275646 9.606362
2.030000 9.002193 9.319148 9.674230
2.080000 9.226424 9.529635 9.906186
2.130000 9.449842 9.737422 10.155141
2.180000 9.615871 9.942146 10.453548
2.300000 10.092299 10.428513 10.907445
2.330000 10.226962 10.535678 11.041244
2.380000 10.369387 10.729695 11.206628
2.430000 10.567946 10.949419 11.446916
2.480000 10.814723 11.281706 11.753599
2.510000 11.058951 11.483075 12.063923
2.560000 11.278785 11.792406 12.280997
2.590000 11.502074 12.009363 12.571332
2.610000 11.602401 12.136408 12.640497
2.660000 12.035757 12.398410 12.832374
2.710000 12.306656 12.600697 12.975632
2.760000 12.544344 12.829837 13.171600
2.780000 12.639990 12.907322 13.272154
2.810000 12.755326 13.095834 13.477118
2.860000 13.109877 13.437591 13.877689
2.910000 13.503592 13.855099 14.208562
3.000000 14.060339 14.531188 14.959404
3.050000 14.466499 14.892471 15.247608
3.100000 14.808498 15.257208 15.651713
3.150000 15.254084 15.637709 16.195470
3.200000 15.700533 16.102248 16.569510
3.240000 15.949183 16.471363 16.877797
3.250000 16.017334 16.568572 16.977324
3.280000 16.402532 16.834238 17.261340
3.300000 16.603869 16.996309 17.390938
3.350000 17.012685 17.417135 17.925307
3.400000 17.438437 17.838147 18.269296
3.450000 17.725828 18.237243 18.630399
3.500000 18.086603 18.644379 19.075725
3.530000 18.302549 18.864161 19.267785
3.580000 18.651229 19.280864 19.754359
3.630000 19.034557 19.655288 20.204911
3.680000 19.351293 19.988250 20.657548
3.730000 19.738210 20.313200 21.006282
3.780000 20.217333 20.707035 21.321222
3.830000 20.588799 21.072751 21.709405
3.880000 20.862348 21.479082 22.132284
3.940000 21.219711 21.931483 22.564936
3.980000 21.408501 22.215073 22.790943
4.010000 21.696735 22.431084 23.016086
4.060000 22.115788 22.764953 23.289382
4.110000 22.532167 23.115083 23.844729
4.120000 22.635257 23.193540 23.931235
4.160000 22.808912 23.484409 24.306917
4.210000 23.055555 23.846055 24.679568
4.260000 23.424907 24.249216 25.031281
4.310000 23.824982 24.704416 25.438504
4.360000 24.214941 25.078755 26.006647
4.410000 24.666733 25.422377 26.389682
4.600000 25.975660 27.057645 28.047197
4.650000 26.404084 27.424222 28.335460
4.700000 26.759476 27.832211 28.805344
4.750000 27.289708 28.147845 28.957139
4.800000 27.724089 28.473030 29.257453
4.850000 28.025624 28.716160 29.503494
4.900000 28.236416 29.019765 29.982547
4.950000 28.461491 29.266351 30.179689
5.000000 28.732017 29.468039 30.576490
5.040000 28.875437 29.654575 30.909725
5.090000 29.193634 29.833540 31.005522
5.140000 29.418345 30.028908 31.191674
5.190000 29.574363 30.270405 31.351249
5.240000 29.745012 30.518869 31.552044
5.290000 29.901230 30.787548 31.759871
5.340000 30.108515 31.038898 31.971776
5.390000 30.326561 31.272596 32.104001
5.440000 30.541356 31.513294 32.317959
5.490000 30.736437 31.791463 32.547091
5.530000 30.880209 31.947811 32.695377
5.580000 31.057799 32.213085 32.874896
5.630000 31.213618 32.417578 33.028189
5.680000 31.426437 32.614254 33.210314
5.730000 31.570446 32.819375 33.362953
5.780000 31.741002 33.033492 33.610229
5.830000 31.939816 33.251006 33.809582
5.880000 32.027769 33.476655 33.969080
5.930000 32.187530 33.652209 34.173535
6.000000 32.507209 33.912739 34.341362
6.050000 32.677778 34.076771 34.522729
6.100000 32.896589 34.275649 34.741582
6.150000 33.021491 34.456768 34.998262
6.200000 33.269155 34.662705 35.300281
6.250000 33.371932 34.854855 35.559537
6.300000 33.497594 35.042564 35.838027
6.350000 33.758956 35.250956 36.103587
