depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.036904 0.243331 0.619305
0.080000 0.286459 0.667926 1.078176
0.130000 0.595438 1.080364 1.552526
0.180000 0.811741 1.500145 2.055107
0.230000 1.165976 1.922408 2.614353
0.280000 1.541547 2.292707 3.021071
0.330000 1.914970 2.709212 3.484665
0.380000 2.390592 3.130297 3.873461
0.430000 2.765718 3.511417 4.083899
0.480000 3.344961 3.877807 4.441742
0.530000 3.760232 4.252616 4.676147
0.580000 4.077414 4.575493 5.203597
0.630000 4.392401 4.843959 5.447314
0.680000 4.684586 5.213819 5.899002
0.730000 5.011868 5.528663 6.223117
0.780000 5.312631 5.882382 6.536896
0.830000 5.551399 6.262869 6.831440
0.880000 5.808904 6.602071 7.165161
0.930000 6.355180 6.991508 7.421927
0.980000 6.887163 7.336962 7.719904
1.030000 7.195668 7.621152 8.015375
1.080000 7.431290 7.894681 8.300080
1.130000 7.717521 8.168705 8.552767
1.180000 7.996121 8.425893 8.807813
1.230000 8.298509 8.719152 9.143575
1.280000 8.486951 8.987670 9.369279
1.330000 8.822211 9.272610 9.601625
1.380000 9.182400 9.558660 9.897242
1.430000 9.500259 9.811880 10.320299
1.480000 9.732543 10.059224 10.462362
1.530000 9.975917 10.333437 10.745631
1.580000 10.235074 10.613312 11.139190
1.630000 10.431305 10.882810 11.329698
1.680000 10.818149 11.194993 11.625727
1.730000 11.111777 11.436947 11.917590
1.780000 11.359168 11.784354 12.164924
1.830000 11.811055 12.273691 12.656551
1.880000 12.282642 12.660074 12.996172
1.930000 12.608449 12.978217 13.321122
1.980000 12.858308 13.268372 13.640437
2.030000 13.125579 13.542436 13.982805
2.080000 13.384225 13.841105 14.241364
2.130000 13.660362 14.136359 14.513687
2.180000 13.967847 14.422277 14.969619
2.230000 14.407007 14.842049 15.388068
2.280000 14.712970 15.230579 15.919129
2.330000 15.155202 15.688297 16.290223
2.380000 15.764447 16.428282 16.830854
2.430000 16.434163 16.988045 17.466798
2.480000 16.970338 17.521645 18.228525
2.530000 17.397411 17.989242 18.623653
2.580000 17.950261 18.486734 19.098937
2.630000 18.427437 18.968302 19.530468
2.680000 18.876194 19.430351 19.945662
2.730000 19.302992 19.967012 20.607995
2.780000 20.022172 20.632178 21.325049
2.830000 20.593154 21.216674 21.884807
2.880000 21.100909 21.827318 22.566526
2.930000 21.801069 22.485183 23.141462
2.980000 22.406960 23.103462 23.771304
3.030000 22.747681 23.656883 24.283270
3.080000 23.095073 24.137096 24.761320
3.130000 23.378921 24.594673 25.326532
3.180000 23.753939 25.147958 25.870047
3.230000 24.389663 25.584002 26.466112
3.280000 24.920370 26.087125 27.081581
3.330000 25.441884 26.525563 27.554994
3.380000 26.015921 26.954403 27.885218
3.430000 26.432922 27.378527 28.268311
3.480000 27.133858 27.887571 28.789079
3.530000 27.599425 28.433452 29.336995
3.580000 27.976154 28.864533 29.838405
3.630000 28.473970 29.370837 30.540310
3.680000 28.983686 29.857059 30.890916
3.730000 29.464536 30.330513 31.431751
3.780000 30.041248 30.757250 31.908796
3.830000 30.458180 31.130280 32.327549
3.880000 30.914939 31.665200 32.857147
3.930000 31.339830 32.104523 33.172433
3.980000 31.691583 32.638595 33.690429
4.030000 32.094231 33.133002 34.105892
4.080000 32.489350 33.617734 34.845558
4.130000 33.092112 34.135448 35.136201
4.180000 33.607801 34.693215 35.729048
4.230000 34.079860 35.188451 36.212529
4.280000 34.850763 35.664185 36.498498
4.330000 35.181482 36.122148 36.973132
4.380000 35.594713 36.599922 37.353875
4.430000 36.167513 37.021784 37.778336
4.480000 36.481783 37.488123 38.124756
4.530000 37.025978 37.913760 38.434894
4.630000 37.972470 38.651124 39.578592
4.680000 38.409714 39.072246 40.064973
4.730000 38.661875 39.444483 40.447796
4.780000 38.937896 39.840938 41.016283
4.830000 39.281688 40.286272 41.421256
4.880000 39.687796 40.688569 41.863727
4.930000 39.962889 41.041391 42.306424
4.980000 40.161965 41.377483 42.693632
5.030000 40.522037 41.736814 42.910215
5.080000 40.760359 42.012840 43.393871
5.130000 41.192061 42.326532 43.639723
5.180000 41.570999 42.690414 43.963088
5.230000 42.085137 43.072787 44.215696
5.280000 42.515493 43.502093 44.580124
5.330000 43.070840 43.965544 44.878922
5.380000 43.649837 44.371607 45.284751
5.430000 44.051364 44.790472 45.725996
5.480000 44.467853 45.104975 45.995959
5.530000 44.957117 45.576578 46.360089
5.580000 45.371317 46.108582 46.682596
5.630000 45.909114 46.530709 47.087165
5.680000 46.276618 46.911002 47.531840
5.730000 46.836084 47.341167 47.979356
5.780000 47.239042 47.724919 48.238735
5.830000 47.608329 48.161397 48.676438
5.880000 47.977568 48.531530 49.078118
5.930000 48.421003 48.849286 49.558905
5.980000 48.695804 49.203507 49.862004
6.030000 48.938194 49.529597 50.187332
6.080000 49.172207 49.818256 50.523501
6.130000 49.373803 50.135591 50.777288
6.180000 49.736096 50.479158 51.125022
6.230000 50.130236 50.747581 51.357102
6.280000 50.363262 51.034679 51.639741
6.330000 50.684307 51.346164 51.993110
6.380000 50.973545 51.688564 52.271251
6.430000 51.231877 51.976519 52.576072
6.480000 51.517672 52.302602 52.954523
6.530000 51.959023 52.634221 53.278257
6.580000 52.381698 52.978775 53.583174
6.630000 52.724988 53.321959 53.895519
6.680000 52.977650 53.568969 54.217712
6.730000 53.231987 53.938187 54.540299
6.780000 53.582262 54.234669 54.898475
6.830000 53.890409 54.569518 55.179453
6.880000 54.182729 54.984446 55.521127
6.930000 54.653498 55.394019 56.015533
6.980000 54.859222 55.728871 56.431565
7.030000 55.267772 56.079037 56.827737
7.080000 55.551376 56.399616 57.310535
7.130000 55.819293 56.757262 57.588184
7.180000 56.107679 57.078874 57.793631
7.230000 56.457588 57.418300 58.213156
7.280000 56.924272 57.812541 58.554271
7.330000 57.293371 58.215443 58.804481
7.380000 57.835375 58.535871 59.098462
7.430000 58.302599 58.894673 59.698849
7.480000 58.678349 59.281549 59.853884
7.530000 59.012140 59.576078 60.202157
7.580000 59.486960 59.986329 60.536730
7.630000 59.784603 60.323817 60.860040
7.680000 60.065407 60.673738 61.266132
7.730000 60.511760 61.093390 61.674976
7.780000 60.792949 61.474701 62.001569
7.830000 61.240692 61.886054 62.399465
7.880000 61.570615 62.261189 62.708073
7.930000 62.047123 62.652151 63.177538
7.980000 62.403028 62.963293 63.614183
8.030000 62.788808 63.366869 63.889509
8.080000 63.085091 63.661535 64.296453
8.130000 63.471136 63.935147 64.701932
8.180000 63.693741 64.307053 65.045842
8.230000 63.994768 64.629847 65.482895
8.280000 64.283235 64.945833 65.720131
8.330000 64.570781 65.282977 66.070265
8.380000 64.862736 65.548561 66.422087
8.430000 65.192824 65.840921 66.644862
8.480000 65.497249 66.200352 66.940195
8.580000 66.039707 66.819404 67.531828
8.630000 66.267775 67.112910 67.729414
8.680000 66.662932 67.417425 68.078779
8.730000 67.059717 67.709475 68.369538
8.780000 67.386649 68.028700 68.696651
8.830000 67.759141 68.298190 68.912412
8.880000 68.003413 68.648889 69.187345
8.930000 68.347575 68.957123 69.568240
8.980000 68.792058 69.342121 69.795967
9.030000 69.221339 69.701718 70.166871
9.080000 69.540561 70.118438 70.485456
9.130000 70.040180 70.520539 70.946669
9.180000 70.479351 70.817138 71.239877
9.230000 70.688451 71.110208 71.549465
9.280000 70.907694 71.376448 71.779302
9.330000 71.172280 71.683475 72.026973
9.380000 71.477848 71.987181 72.254003
9.430000 71.816302 72.260317 72.566887
9.480000 71.992126 72.588519 73.018371
9.530000 72.387557 72.849650 73.280011
9.580000 72.726848 73.133649 73.484702
9.630000 72.994926 73.393854 73.774384
9.680000 73.269795 73.655012 74.028946
9.730000 73.497724 73.908572 74.317402
9.780000 73.772333 74.170443 74.564383
9.830000 74.046524 74.457047 74.805106
9.880000 74.366366 74.742892 75.205169
9.930000 74.787042 75.083836 75.615213
9.980000 74.988631 75.365344 75.850577
10.030000 75.260695 75.625727 76.182626
10.080000 75.509660 75.930376 76.516458
10.130000 75.714349 76.229838 76.745632
10.180000 75.990023 76.507568 77.017061
10.230000 76.259830 76.860265 77.396864
10.280000 76.639232 77.147670 77.742413
10.330000 76.999404 77.470540 78.165816
10.380000 77.343944 77.787216 78.473738
10.430000 77.551771 78.135277 78.754008
10.480000 77.873334 78.534836 79.291257
10.530000 78.200665 78.878824 79.564933
10.580000 78.469416 79.258576 79.980630
10.630000 78.690729 79.631430 80.209630
10.680000 78.966307 80.012109 80.580903
10.730000 79.508499 80.363131 80.876518
10.780000 80.018928 80.741878 81.198453
10.830000 80.444933 81.076836 81.510626
10.880000 80.738191 81.369436 81.776076
10.930000 81.016516 81.722208 82.202622
10.980000 81.406575 82.021398 82.532740
11.030000 81.646406 82.298980 82.852017
11.080000 81.975911 82.535166 83.145335
11.130000 82.230249 82.789236 83.439245
11.180000 82.531072 83.035731 83.739900
11.230000 82.804446 83.270455 83.860218
11.280000 83.086510 83.567433 84.134191
11.330000 83.346967 83.866655 84.496198
11.380000 83.665002 84.174513 84.739039
11.430000 83.878395 84.433049 84.904383
11.480000 84.058962 84.677811 85.165654
11.530000 84.290889 84.934429 85.378808
11.580000 84.536064 85.183362 85.586085
11.630000 84.824809 85.468105 85.868048
11.680000 85.355077 85.811961 86.288423
11.730000 85.736135 86.199599 86.596179
11.780000 86.052013 86.537848 87.020649
11.830000 86.468473 86.881238 87.362947
11.880000 86.776084 87.268078 87.728458
11.930000 87.059769 87.633412 88.190659
11.980000 87.568048 88.045779 88.603962
12.030000 87.860361 88.373078 88.925271
12.080000 88.212790 88.674525 89.197666
12.130000 88.544199 88.976721 89.466419
12.180000 88.812670 89.262106 89.727986
12.230000 89.009513 89.583560 90.076956
12.280000 89.349194 89.902806 90.507894
12.330000 89.754009 90.282735 90.874841
12.380000 90.129131 90.645188 91.218540
12.430000 90.510540 91.044056 91.625432
12.480000 90.718004 91.349780 92.038263
12.530000 91.022340 91.679839 92.417889
12.580000 91.128362 91.986505 92.907658
12.630000 91.464754 92.270700 93.129671
12.680000 91.862093 92.600524 93.376392
12.730000 92.343825 93.094137 93.846417
12.780000 92.713102 93.377300 94.228911
12.830000 92.977615 93.743341 94.430944
12.880000 93.296237 94.064427 94.786149
12.930000 93.701610 94.461898 95.168786
12.980000 94.065091 94.858180 95.530801
13.030000 94.336923 95.168466 95.897539
13.080000 94.615972 95.523987 96.110862
13.130000 95.029582 95.884090 96.476095
13.180000 95.296996 96.226487 96.854714
13.230000 95.755820 96.536868 97.317302
13.280000 96.091934 96.868825 97.696571
13.330000 96.328989 97.139072 98.147568
13.380000 96.693541 97.524859 98.333459
13.430000 97.034607 97.758552 98.584703
13.480000 97.232715 98.077976 98.906446
13.530000 97.392528 98.397070 99.200842
13.580000 97.810654 98.685450 99.539068
13.630000 98.260663 98.958819 99.924478
13.680000 98.611826 99.230981 100.242359
13.730000 98.818279 99.564721 100.457903
13.780000 99.084043 99.856879 100.735989
13.830000 99.365740 100.171881 100.912808
13.880000 99.594419 100.471002 101.423474
13.930000 99.885113 100.753496 101.583162
13.980000 100.377897 101.024682 101.760204
14.030000 100.547778 101.288016 102.056204
14.080000 100.938189 101.595551 102.466846
14.130000 101.324056 101.929838 102.595808
14.180000 101.631805 102.276849 102.843204
14.230000 101.918008 102.589884 103.035593
14.280000 102.258001 102.947319 103.299220
14.330000 102.673010 103.244337 103.724052
14.380000 103.069522 103.582876 103.950790
14.430000 103.344838 103.903185 104.304581
14.480000 103.804393 104.220667 104.680890
14.530000 104.140826 104.505691 104.999675
14.580000 104.327280 104.789571 105.357603
14.630000 104.629667 105.049043 105.624329
14.680000 104.809313 105.351045 105.980839
14.730000 105.050502 105.601636 106.368111
14.780000 105.250277 105.926452 106.680376
14.830000 105.571846 106.181785 106.937708
14.880000 105.852907 106.504662 107.101917
14.930000 106.165178 106.810736 107.395309
14.980000 106.606433 107.145954 107.623346
15.030000 107.022793 107.453341 107.967014
15.080000 107.370272 107.770602 108.263499
15.130000 107.685461 108.133030 108.596271
15.180000 107.976224 108.490523 109.016738
15.230000 108.420146 108.863766 109.319934
15.280000 108.783538 109.220642 110.009549
15.330000 109.055560 109.595067 110.226982
15.380000 109.351773 109.996648 110.521342
15.430000 109.697927 110.302898 110.758286
15.480000 110.078222 110.676590 111.168064
15.530000 110.416674 111.053935 111.628271
15.580000 110.823277 111.449364 111.987700
15.630000 111.119370 111.789095 112.385905
15.680000 111.348458 112.157778 112.908088
15.730000 111.673669 112.507633 113.211130
15.780000 112.159503 112.872706 113.629907
15.830000 112.560724 113.256045 114.033024
15.880000 112.864414 113.588923 114.402898
15.930000 113.238293 113.929373 114.859462
15.980000 113.515044 114.345140 115.395612
16.030000 113.805035 114.607601 115.765945
16.080000 114.042991 114.983139 116.258400
16.130000 114.252217 115.310475 116.793642
16.180000 114.510856 115.598513 116.965101
