depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.140000 0.978955 2.986537 4.633331
0.160000 1.137205 3.120783 4.738272
0.240000 2.218040 3.664044 4.909197
0.320000 3.102192 4.137285 5.386089
0.360000 3.190386 4.421519 5.741443
0.420000 3.413034 4.806394 5.911426
0.480000 3.784351 5.148963 6.181827
0.560000 4.257089 5.673284 6.846377
0.640000 4.833202 6.160965 7.127752
0.720000 5.228116 6.700506 7.647643
0.790000 6.014164 7.234005 8.106140
0.800000 6.117323 7.285969 8.275474
0.840000 6.687187 7.652209 8.589335
0.940000 7.789356 8.651367 9.512361
0.980000 8.186923 9.014148 9.689913
1.000000 8.325139 9.199970 9.823959
1.020000 8.452174 9.350850 9.916978
1.040000 8.702132 9.510881 10.048278
1.060000 8.946159 9.677958 10.219702
1.100000 9.369450 10.066394 10.587420
1.120000 9.548871 10.297837 10.740706
1.130000 9.667267 10.349847 10.847294
1.140000 9.758252 10.415336 10.929682
1.160000 10.001736 10.590705 11.070637
1.180000 10.244078 10.743378 11.206000
1.200000 10.411621 10.915862 11.354946
1.220000 10.634201 11.096052 11.499696
1.260000 10.989945 11.486772 11.959379
1.300000 11.428115 11.858136 12.385410
1.320000 11.643980 12.019086 12.460536
1.340000 11.767608 12.188008 12.588823
1.360000 11.940104 12.361312 12.727469
1.380000 12.091484 12.511853 12.928695
1.400000 12.217411 12.659704 13.086646
1.460000 12.544220 13.011923 13.458236
1.480000 12.681236 13.145445 13.678907
1.500000 12.790545 13.280348 13.740223
1.540000 13.110967 13.613963 14.148847
1.560000 13.213506 13.746048 14.225610
1.620000 13.690690 14.081352 14.550146
1.660000 13.930185 14.335105 14.793845
1.680000 13.990750 14.461122 15.000457
1.700000 14.091255 14.649161 15.181593
1.720000 14.177037 14.818196 15.343906
1.780000 14.759938 15.267846 15.726731
1.820000 15.167186 15.566974 15.896115
1.840000 15.364256 15.722992 16.027318
1.860000 15.528460 15.850770 16.157453
1.900000 15.859256 16.132745 16.421231
1.940000 16.063233 16.369766 16.639997
1.980000 16.237215 16.582389 16.829842
2.020000 16.462178 16.804724 17.038361
2.060000 16.649411 17.009048 17.498382
2.100000 16.849594 17.186106 17.660740
2.180000 17.141132 17.522924 18.100018
2.220000 17.336570 17.741639 18.362921
2.260000 17.519066 18.007634 18.588576
2.300000 17.783430 18.204559 18.783980
2.340000 17.945359 18.439915 18.979790
2.420000 18.277282 18.866076 19.381004
2.440000 18.418018 18.959402 19.516974
2.460000 18.532986 19.083324 19.599808
2.480000 18.635106 19.233414 19.646652
2.500000 18.765808 19.335762 19.839854
2.520000 18.899706 19.440913 19.948821
2.620000 19.271939 19.933472 20.423429
2.640000 19.391052 20.060019 20.540115
2.660000 19.570951 20.120085 20.608833
2.780000 20.039583 20.661791 21.072746
2.860000 20.355746 20.986756 21.415693
2.900000 20.472004 21.147390 21.662178
2.980000 20.816920 21.478224 21.921195
3.060000 21.239019 21.793663 22.233412
3.100000 21.575997 21.991033 22.418778
3.120000 21.712175 22.094292 22.515405
3.140000 21.805184 22.192310 22.558062
3.180000 21.942164 22.447824 22.862383
3.220000 22.157399 22.644302 23.286547
3.260000 22.428142 22.914867 23.558954
3.300000 22.687277 23.176927 23.835077
3.320000 22.817311 23.309858 24.042993
3.340000 22.956965 23.466268 24.125916
3.360000 23.044218 23.617870 24.234530
3.400000 23.371356 23.969711 24.485037
3.420000 23.575516 24.139705 24.686271
3.440000 23.741906 24.323856 24.813793
3.460000 23.935216 24.481223 24.936722
3.480000 24.184869 24.601736 25.075209
3.500000 24.277420 24.773133 25.238268
3.520000 24.478911 24.878170 25.506016
3.540000 24.612561 25.044209 25.618504
3.580000 24.828825 25.372607 26.055429
3.620000 25.083560 25.731464 26.367623
3.660000 25.423235 26.103469 26.707486
3.700000 25.775526 26.432466 26.932237
3.720000 25.918110 26.634227 27.079121
3.780000 26.577309 27.106597 27.648345
3.840000 27.119320 27.595716 28.257025
3.860000 27.283874 27.771117 28.348565
3.880000 27.433621 27.940499 28.454915
3.900000 27.565484 28.114444 28.606973
3.940000 27.954277 28.422154 29.081249
3.980000 28.260760 28.766337 29.361763
4.020000 28.531867 29.118988 29.729972
4.060000 28.808519 29.443243 29.998471
4.100000 29.044781 29.754174 30.321664
4.140000 29.376313 30.097546 30.615606
4.160000 29.445489 30.286245 30.820471
4.200000 29.860663 30.578118 31.157656
4.220000 30.013878 30.693442 31.292305
4.240000 30.173307 30.822670 31.437537
4.300000 30.588784 31.186678 31.881098
4.380000 30.916561 31.691040 32.425078
4.460000 31.420190 32.268616 33.210787
4.480000 31.617409 32.412352 33.354897
4.500000 31.709337 32.592094 33.468875
4.520000 31.887944 32.724149 33.605216
4.580000 32.265924 33.066684 34.122092
4.620000 32.465599 33.353754 34.280207
4.660000 32.713985 33.602360 34.530723
