depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.050000 0.000473 0.048544 0.235705
0.100000 0.090223 0.183013 0.360226
0.150000 0.190316 0.310862 0.452018
0.170000 0.269247 0.371320 0.521247
0.200000 0.340555 0.460544 0.593859
0.250000 0.446428 0.583400 0.720238
0.290000 0.565349 0.698500 0.845436
0.300000 0.611490 0.734560 0.886698
0.350000 0.712646 0.858703 0.978678
0.400000 0.837694 0.989469 1.160742
0.450000 0.979343 1.143558 1.332362
0.490000 1.095053 1.250007 1.451786
0.530000 1.151822 1.361589 1.580020
0.540000 1.191302 1.393388 1.621692
0.590000 1.352905 1.558545 1.766206
0.640000 1.532181 1.714189 1.906206
0.650000 1.568159 1.751420 1.948683
0.690000 1.687344 1.872431 2.143965
0.740000 1.833665 2.054874 2.578642
0.750000 1.853051 2.096403 2.632695
0.790000 2.025075 2.305361 3.022681
0.840000 2.228016 2.696778 3.331063
0.890000 2.409075 3.024065 3.665648
0.940000 2.673690 3.337973 3.895666
0.990000 2.959856 3.629799 4.142896
1.010000 3.110614 3.729840 4.288955
1.030000 3.152770 3.812032 4.462679
1.080000 3.486833 4.059292 4.717538
1.130000 3.838113 4.346114 5.036482
1.180000 4.100362 4.626712 5.227211
1.230000 4.333345 4.908966 5.433932
1.280000 4.675792 5.226602 5.709045
1.330000 4.917186 5.526966 6.082878
1.380000 5.184786 5.821565 6.449045
1.430000 5.554218 6.168180 6.683848
1.500000 6.031750 6.581382 7.087704
1.550000 6.314553 6.889075 7.323304
1.580000 6.437931 7.068284 7.496474
1.600000 6.536216 7.135526 7.614900
1.650000 6.701167 7.343342 7.971585
1.700000 6.796348 7.552330 8.372757
1.750000 6.985079 7.749134 8.869710
1.800000 7.287439 7.932706 9.167241
1.850000 7.538884 8.125076 9.309290
1.860000 7.593472 8.183133 9.348482
1.900000 7.730113 8.481087 9.519356
2.010000 8.605213 9.328995 9.956517
2.020000 8.644862 9.385192 10.012945
2.030000 8.687735 9.431147 10.041114
2.080000 8.913360 9.706527 10.201933
2.130000 9.099856 9.981124 10.408858
2.180000 9.629301 10.241443 10.645656
2.300000 10.244256 10.772259 11.155934
2.330000 10.376766 10.897222 11.285647
2.380000 10.567788 11.090551 11.427737
2.430000 10.763872 11.277673 11.658076
2.480000 11.050157 11.492755 11.948528
2.510000 11.239526 11.639871 12.136950
2.560000 11.501171 11.875385 12.469324
2.590000 11.654473 12.024687 12.571636
2.610000 11.771461 12.108821 12.652929
2.660000 11.961568 12.356723 12.869554
2.710000 12.213278 12.581042 13.084986
2.760000 12.494289 12.805536 13.318753
2.780000 12.604389 12.896499 13.456487
2.810000 12.791729 13.110163 13.673608
2.860000 13.107606 13.470564 14.006248
2.910000 13.375078 13.832715 14.332345
3.000000 13.964616 14.515818 14.943197
3.050000 14.353530 14.851204 15.279710
3.100000 14.692609 15.248145 15.588499
3.150000 15.236367 15.610786 16.099427
3.200000 15.632913 16.014602 16.549110
3.240000 15.994125 16.437434 16.904581
3.250000 16.055117 16.522634 17.001524
3.280000 16.232646 16.825813 17.249396
3.300000 16.466121 16.992074 17.447934
3.350000 17.053834 17.397084 17.856364
3.400000 17.437025 17.839940 18.349360
3.450000 17.748645 18.248567 18.689568
3.500000 18.081854 18.677812 19.281426
3.530000 18.338044 18.905672 19.493809
3.580000 18.636985 19.253837 19.805526
3.630000 18.885966 19.560044 20.285198
3.680000 19.168974 19.966852 20.654394
3.730000 19.451622 20.296669 20.959362
3.780000 19.856739 20.614589 21.382552
3.830000 20.288035 20.992265 21.721108
3.880000 20.700712 21.361902 21.979137
3.940000 21.205544 21.737042 22.278311
3.980000 21.512643 22.060503 22.542452
4.010000 21.773744 22.247830 22.725929
4.060000 22.200569 22.635577 23.062051
4.110000 22.509231 22.953084 23.407394
4.120000 22.584000 23.016271 23.477933
4.160000 22.816964 23.332278 23.760650
4.210000 23.116281 23.741538 24.144204
4.260000 23.494972 24.082555 24.581563
4.310000 23.833649 24.460724 25.064625
4.360000 24.140874 24.860636 25.518476
4.410000 24.475483 25.296874 25.966167
4.600000 26.086015 26.774642 27.595941
4.650000 26.472703 27.154889 27.893674
4.700000 26.899405 27.536275 28.189039
4.750000 27.351333 27.850819 28.388922
4.800000 27.695715 28.154586 28.567021
4.850000 27.904400 28.378459 28.750681
4.900000 28.122272 28.594587 29.004020
4.950000 28.375401 28.772371 29.280364
5.000000 28.616234 28.931675 29.539049
5.040000 28.746535 29.073926 29.714942
5.090000 28.960446 29.235700 30.002284
5.140000 29.058792 29.410231 30.316702
5.190000 29.154122 29.567281 30.642930
5.240000 29.307341 29.749390 30.906598
5.290000 29.548248 29.912020 31.130629
5.340000 29.749879 30.094377 31.415854
5.390000 29.930183 30.253556 31.841591
5.440000 30.046886 30.428999 32.113579
5.490000 30.199485 30.617093 32.252213
5.530000 30.406513 30.739819 32.430989
5.580000 30.554578 30.924642 32.668459
5.630000 30.718966 31.094857 32.820167
5.680000 30.915488 31.276336 32.986813
5.730000 31.097292 31.464345 33.177796
5.780000 31.257172 31.626034 33.333444
5.830000 31.442954 31.854784 33.549532
5.880000 31.582833 32.047349 33.698958
5.930000 31.736814 32.260027 33.835415
6.000000 31.939351 32.498261 33.971417
6.050000 32.107208 32.730151 34.191838
6.100000 32.304765 32.955427 34.360800
6.150000 32.464525 33.157192 34.644469
6.200000 32.619656 33.481516 34.773184
6.250000 32.774557 33.808692 35.063221
6.300000 32.997002 33.983356 35.206463
6.350000 33.227316 34.215048 35.400987
