depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.029482 0.227426 0.622442
0.080000 0.293766 0.630040 1.105234
0.130000 0.426892 1.004836 1.649776
0.180000 0.757520 1.408111 2.232145
0.230000 1.006407 1.840456 2.801854
0.280000 1.257316 2.306234 3.350748
0.330000 1.659640 2.708882 3.600137
0.380000 2.098899 3.114061 3.988632
0.430000 2.645773 3.514068 4.387859
0.480000 3.250868 3.936293 4.745317
0.530000 3.677423 4.326179 5.232968
0.580000 4.039612 4.738788 5.660139
0.630000 4.354881 5.109851 5.981616
0.680000 4.581214 5.531875 6.260270
0.730000 4.936666 5.931610 6.505182
0.780000 5.243313 6.286163 6.836327
0.830000 5.447323 6.590136 7.086403
0.880000 5.929695 6.888955 7.375661
0.930000 6.357145 7.172073 7.625562
0.980000 6.888934 7.458799 7.860626
1.030000 7.173288 7.737942 8.053591
1.080000 7.429985 8.024134 8.316893
1.130000 7.775656 8.252371 8.618323
1.180000 8.038187 8.509540 8.874793
1.230000 8.338410 8.748745 9.157149
1.280000 8.628824 8.986538 9.411654
1.330000 8.841726 9.255243 9.689003
1.380000 9.169677 9.541096 9.950191
1.430000 9.402605 9.829272 10.209193
1.480000 9.590839 10.056478 10.530577
1.530000 9.910143 10.319480 10.764603
1.580000 10.260353 10.618855 11.202360
1.630000 10.561324 10.880244 11.644033
1.680000 10.783750 11.189540 12.004906
1.730000 10.977155 11.499065 12.213881
1.780000 11.341879 11.910483 12.507423
1.830000 11.838605 12.396209 12.847580
1.880000 12.292137 12.773486 13.109522
1.930000 12.682258 13.097138 13.428569
1.980000 12.851031 13.331032 13.709483
2.030000 13.157521 13.571133 13.980032
2.080000 13.403330 13.830520 14.184062
2.130000 13.793802 14.134441 14.507167
2.180000 14.003653 14.426204 14.824012
2.230000 14.426187 14.783300 15.319042
2.280000 14.790267 15.206537 15.804252
2.330000 15.125475 15.740818 16.414354
2.380000 15.802110 16.361351 16.976187
2.430000 16.397096 16.948656 17.553243
2.480000 16.959134 17.478260 18.081626
2.530000 17.451454 17.999591 18.545616
2.580000 17.946904 18.487370 19.050346
2.630000 18.423634 18.990970 19.536684
2.680000 18.963735 19.518862 20.015536
2.730000 19.652253 20.100163 20.548369
2.780000 20.181377 20.718167 21.430448
2.830000 20.759073 21.304377 21.927034
2.880000 21.252680 21.900451 22.722864
2.930000 21.875769 22.499099 23.140614
2.980000 22.538228 23.086993 23.588250
3.030000 22.942189 23.612872 24.117196
3.080000 23.316538 24.093246 24.951397
3.130000 23.596758 24.685346 25.719589
3.180000 24.128914 25.150350 26.413183
3.230000 24.434634 25.688540 26.979156
3.280000 24.894729 26.174127 27.322837
3.330000 25.309342 26.639309 28.002271
3.380000 25.703098 27.067974 28.451057
3.430000 26.240206 27.566826 29.158026
3.480000 26.858641 28.053876 29.454959
3.530000 27.494284 28.499304 29.804457
3.580000 27.987078 28.996492 30.358731
3.630000 28.377332 29.537330 30.940329
3.680000 28.786212 29.995041 31.211846
3.730000 29.166769 30.482872 32.055768
3.780000 29.504788 30.955719 32.666522
3.830000 29.877404 31.533893 33.287492
3.880000 30.517196 32.079628 33.733255
3.930000 31.097180 32.623094 34.273174
3.980000 31.757114 33.170124 34.703703
4.030000 32.401966 33.713625 35.200321
4.080000 32.817078 34.127187 35.731993
4.130000 33.236243 34.598622 35.921708
4.180000 33.773431 35.110743 36.543206
4.230000 34.343286 35.558004 37.021574
4.280000 34.924699 35.967503 37.371032
4.330000 35.249560 36.455788 37.733837
4.380000 35.694737 36.947295 38.051546
4.430000 36.102330 37.364572 38.457221
4.480000 36.470467 37.833266 38.885626
4.530000 36.944013 38.236641 39.207143
4.630000 37.489947 39.016792 40.038032
4.680000 37.964302 39.385782 40.443102
4.730000 38.303068 39.890272 40.996087
4.780000 38.775397 40.281550 41.268284
4.830000 39.119340 40.746805 41.551707
4.880000 39.409990 41.041400 41.876821
4.930000 39.665052 41.302629 42.352458
4.980000 40.007760 41.606835 42.588908
5.030000 40.493320 41.926815 42.967533
5.080000 40.692934 42.202430 43.280100
5.130000 41.100828 42.515398 43.507713
5.180000 41.578144 42.791203 43.685433
5.230000 42.035963 43.181161 43.929193
5.280000 42.506964 43.497550 44.222208
5.330000 42.990510 43.857046 44.591275
5.380000 43.314792 44.171228 44.977576
5.430000 43.911725 44.517005 45.168475
5.480000 44.344321 44.883120 45.578559
5.530000 44.867375 45.368340 46.068262
5.580000 45.249031 45.837375 46.588922
5.630000 45.605274 46.339076 47.169394
5.680000 46.110447 46.872927 47.654025
5.730000 46.583905 47.376676 48.150160
5.780000 47.087417 47.900543 48.596723
5.830000 47.617342 48.414688 49.010970
5.880000 47.963547 48.853853 49.573752
5.930000 48.526647 49.228571 49.961567
5.980000 48.764846 49.549126 50.301694
6.030000 48.990997 49.870707 50.520998
6.080000 49.198068 50.129912 50.837694
6.130000 49.336629 50.385472 51.123747
6.180000 49.632394 50.652470 51.254882
6.230000 50.063082 50.890583 51.553377
6.280000 50.280290 51.196442 51.874683
6.330000 50.563691 51.481047 52.091332
6.380000 50.947076 51.729771 52.418967
6.430000 51.334259 52.018874 52.769730
6.480000 51.467785 52.354863 53.282529
6.530000 51.984237 52.698160 53.668831
6.580000 52.272105 53.049089 54.155023
6.630000 52.653796 53.373828 54.375043
6.680000 52.933650 53.716943 54.728297
6.730000 53.211777 53.983265 55.089152
6.780000 53.458546 54.387975 55.427509
6.830000 53.713011 54.776188 55.903769
6.880000 54.175962 55.117952 56.208089
6.930000 54.376628 55.526212 56.443029
6.980000 54.581330 55.884202 56.742183
7.030000 55.055178 56.215021 57.193844
7.080000 55.304438 56.526104 57.611334
7.130000 55.623556 56.813794 58.061974
7.180000 55.845828 57.150446 58.401981
7.230000 56.184235 57.545360 58.640018
7.280000 56.485143 57.883720 58.963151
7.330000 56.974102 58.270517 59.475540
7.380000 57.464084 58.658390 59.791413
7.430000 57.807393 59.006588 60.007627
7.480000 58.274372 59.320735 60.298398
7.530000 58.592262 59.748515 60.552708
7.580000 58.967295 60.051154 60.805825
7.630000 59.364815 60.364664 61.146378
7.680000 59.687100 60.657507 61.413700
7.730000 60.072739 60.966196 61.749124
7.780000 60.535475 61.323403 62.109361
7.830000 61.043974 61.661260 62.532584
7.880000 61.390073 61.973480 62.733421
7.930000 61.636217 62.302786 63.099898
7.980000 62.039952 62.701601 63.544802
8.030000 62.213427 62.989646 64.056745
8.080000 62.529423 63.222838 64.553744
8.130000 62.831755 63.537863 64.898619
8.180000 63.035541 63.826174 65.099915
8.230000 63.303202 64.111544 65.315693
8.280000 63.443922 64.384718 65.686345
8.330000 63.610183 64.728301 65.846419
8.380000 63.823328 65.079306 66.049104
8.430000 64.114192 65.311536 66.242848
8.480000 64.515938 65.626491 66.478113
8.580000 64.928487 66.126441 67.057678
8.630000 65.119724 66.386721 67.199652
8.680000 65.404928 66.629423 67.514890
8.730000 65.669802 66.853122 67.781517
8.780000 65.996452 67.163281 68.025048
8.830000 66.529772 67.479966 68.209005
8.880000 66.978306 67.768791 68.441076
8.930000 67.367850 68.063030 68.665623
8.980000 67.799757 68.401297 69.114417
9.030000 68.159409 68.789254 69.432562
9.080000 68.570026 69.240024 69.953248
9.130000 68.824229 69.688426 70.439471
9.180000 69.336439 70.113587 70.819483
9.230000 69.487570 70.520710 71.168236
9.280000 69.980992 70.919359 71.598559
9.330000 70.475882 71.292361 72.002979
9.380000 70.629768 71.605950 72.272316
9.430000 71.019428 71.902810 72.548218
9.480000 71.432609 72.248870 72.848274
9.530000 71.675432 72.532310 73.123754
9.580000 71.939484 72.844455 73.430286
9.630000 72.301897 73.062139 73.711642
9.680000 72.603171 73.348469 73.955310
9.730000 73.012662 73.669041 74.241439
9.780000 73.293432 74.038233 74.499999
