depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.140000 1.518688 3.274687 5.104712
0.160000 1.697334 3.360293 5.243545
0.240000 2.254565 4.045877 5.561891
0.320000 2.732188 4.531951 5.905590
0.360000 2.916550 4.804723 6.099446
0.420000 3.149005 5.047849 6.370683
0.480000 3.720541 5.357645 6.677441
0.560000 4.323626 5.741646 6.945207
0.640000 5.060531 6.236100 7.501208
0.720000 5.716262 6.825356 7.852824
0.790000 6.383345 7.277908 8.298561
0.800000 6.448250 7.340832 8.361508
0.840000 6.820506 7.688743 8.577360
0.940000 7.920144 8.652805 9.244315
0.980000 8.452639 8.963827 9.459707
1.000000 8.592236 9.143760 9.637630
1.020000 8.728044 9.320109 9.806317
1.040000 9.023438 9.486149 9.944202
1.060000 9.210826 9.666552 10.109148
1.100000 9.678124 10.084591 10.470004
1.120000 9.852539 10.268398 10.657068
1.130000 9.973086 10.362657 10.744105
1.140000 10.058573 10.467882 10.849328
1.160000 10.209779 10.656114 11.056848
1.180000 10.384021 10.854285 11.244839
1.200000 10.565541 11.048980 11.520554
1.220000 10.822818 11.265172 11.755681
1.260000 11.182209 11.660976 12.084580
1.300000 11.582143 12.131773 12.622577
1.320000 11.749549 12.370260 12.791698
1.340000 11.928544 12.532704 12.936039
1.360000 12.071984 12.685454 13.085237
1.380000 12.156682 12.837069 13.228408
1.400000 12.247922 12.982809 13.396611
1.460000 12.617912 13.314845 13.693962
1.480000 12.778802 13.426053 13.800807
1.500000 12.976317 13.517117 13.857400
1.540000 13.165513 13.736491 14.173208
1.560000 13.354551 13.846045 14.254148
1.620000 13.607874 14.136096 14.501058
1.660000 13.916797 14.390720 14.733115
1.680000 14.089894 14.475930 14.930422
1.700000 14.192996 14.652548 15.060305
1.720000 14.346435 14.800866 15.266983
1.780000 14.855138 15.217946 15.602089
1.820000 15.163694 15.543655 15.928979
1.840000 15.284759 15.704170 16.162668
1.860000 15.442066 15.915397 16.277745
1.900000 15.846468 16.213689 16.555023
1.940000 16.138191 16.504187 16.912594
1.980000 16.435067 16.715712 17.107935
2.020000 16.628190 16.898078 17.302155
2.060000 16.810707 17.089008 17.536306
2.100000 16.972026 17.281611 17.824147
2.180000 17.275991 17.627537 18.164149
2.220000 17.471772 17.804205 18.329491
2.260000 17.606711 17.985729 18.553509
2.300000 17.823730 18.181891 18.766436
2.340000 18.013833 18.363110 18.933572
2.420000 18.389725 18.700388 19.392111
2.440000 18.493257 18.787248 19.510198
2.460000 18.571546 18.919717 19.773424
2.480000 18.618203 19.006347 19.877589
2.500000 18.784153 19.133842 19.989454
2.520000 18.921433 19.245550 20.087151
2.620000 19.219637 19.755695 20.518260
2.640000 19.306250 19.854855 20.584110
2.660000 19.414126 19.964960 20.686433
2.780000 20.002735 20.531556 21.325482
2.860000 20.327296 20.895740 21.775138
2.900000 20.463429 21.060264 21.870020
2.980000 20.854907 21.406585 22.242565
3.060000 21.291078 21.741244 22.638776
3.100000 21.382992 21.918013 22.734406
3.120000 21.512439 22.057709 22.821014
3.140000 21.623028 22.209544 22.933709
3.180000 21.812859 22.439967 23.059517
3.220000 22.111294 22.698714 23.301817
3.260000 22.347534 23.002955 23.651471
3.300000 22.526926 23.292882 24.082094
3.320000 22.760561 23.404443 24.178532
3.340000 23.018000 23.570096 24.309351
3.360000 23.195875 23.686473 24.487690
3.400000 23.514458 23.995097 24.635859
3.420000 23.706550 24.125707 24.759965
3.440000 23.790234 24.233435 24.995661
3.460000 23.885653 24.350743 25.162559
3.480000 23.976726 24.495569 25.263420
3.500000 24.089049 24.629573 25.405602
3.520000 24.303003 24.795952 25.484843
3.540000 24.485498 24.955516 25.600766
3.580000 24.787081 25.294003 25.921667
3.620000 25.067247 25.667073 26.248353
3.660000 25.325455 26.023392 26.610565
3.700000 25.771429 26.344612 26.927627
3.720000 25.993146 26.499156 27.138221
3.780000 26.527700 27.018895 27.630756
3.840000 27.050615 27.544606 28.051451
3.860000 27.209783 27.699339 28.214137
3.880000 27.360499 27.860205 28.408534
3.900000 27.554714 28.035746 28.612813
3.940000 27.883931 28.388281 28.971787
3.980000 28.002931 28.737948 29.353107
4.020000 28.326257 29.120267 29.709550
4.060000 28.508503 29.485293 30.127832
4.100000 28.666927 29.816000 30.515366
4.140000 29.050281 30.161832 30.745986
4.160000 29.128321 30.302158 30.904456
4.200000 29.342068 30.597768 31.175242
4.220000 29.484800 30.774820 31.333069
4.240000 29.619241 30.913916 31.494303
4.300000 30.188362 31.304643 31.975181
4.380000 30.838321 31.729429 32.777749
4.460000 31.299784 32.308404 33.387102
4.480000 31.413447 32.436347 33.458446
4.500000 31.595768 32.619234 33.645785
4.520000 31.716501 32.717401 33.759088
4.580000 32.188971 33.118232 34.233687
4.620000 32.404462 33.344427 34.568956
4.660000 32.776788 33.650854 34.772413
