depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.050000 0.004184 0.035339 0.186840
0.100000 0.082916 0.167015 0.334071
0.150000 0.152489 0.306443 0.442060
0.170000 0.210635 0.358011 0.513444
0.200000 0.298190 0.449215 0.572450
0.250000 0.385318 0.559516 0.745077
0.290000 0.463502 0.682515 0.862330
0.300000 0.482874 0.716624 0.897643
0.350000 0.587327 0.831586 1.072961
0.400000 0.720210 0.980585 1.238831
0.450000 0.799679 1.099812 1.365085
0.490000 0.925963 1.219548 1.506860
0.530000 1.088917 1.311105 1.654534
0.540000 1.129942 1.346178 1.687897
0.590000 1.245578 1.483150 1.887733
0.640000 1.369959 1.643385 2.041749
0.650000 1.397466 1.672850 2.091365
0.690000 1.525846 1.826648 2.352906
0.740000 1.761620 2.073457 2.616787
0.750000 1.809610 2.107013 2.671726
0.790000 2.041348 2.414877 2.920517
0.840000 2.391730 2.791803 3.298104
0.890000 2.771600 3.120845 3.694550
0.940000 2.993281 3.402930 3.933596
0.990000 3.237800 3.655860 4.136749
1.010000 3.319621 3.745247 4.314476
1.030000 3.407524 3.869131 4.403958
1.080000 3.641579 4.122425 4.640513
1.130000 3.888897 4.338420 4.795981
1.180000 4.051751 4.592826 5.046324
1.230000 4.327470 4.857689 5.376020
1.280000 4.592281 5.208297 5.718703
1.330000 4.982050 5.530562 6.063277
1.380000 5.197245 5.879881 6.452082
1.430000 5.517518 6.245466 6.776835
1.500000 5.996671 6.710723 7.176767
1.550000 6.270069 7.017905 7.487953
1.580000 6.438137 7.198155 7.617009
1.600000 6.556327 7.324973 7.741810
1.650000 6.750525 7.568182 7.993852
1.700000 6.936556 7.783448 8.357288
1.750000 7.187501 7.961370 8.729037
1.800000 7.431262 8.198624 8.912852
1.850000 7.689891 8.399976 9.109314
1.860000 7.755497 8.438783 9.145812
1.900000 8.083373 8.611627 9.329686
2.010000 8.688370 9.367337 9.763959
2.020000 8.732664 9.432483 9.821227
2.030000 8.767729 9.492202 9.869728
2.080000 8.896555 9.691013 10.071113
2.130000 9.213532 9.867459 10.325590
2.180000 9.526055 10.082879 10.526459
2.300000 10.266571 10.626376 11.104584
2.330000 10.391587 10.759486 11.303730
2.380000 10.538619 11.006644 11.609868
2.430000 10.685199 11.314906 11.974594
2.480000 10.927894 11.611463 12.204606
2.510000 11.156445 11.814763 12.335192
2.560000 11.597634 12.113410 12.608992
2.590000 11.775612 12.269244 12.735156
2.610000 11.919709 12.358589 12.833027
2.660000 12.200419 12.561261 13.040644
2.710000 12.384783 12.757772 13.226396
2.760000 12.564843 12.952872 13.410848
2.780000 12.670419 13.048044 13.482015
2.810000 12.815946 13.214090 13.646662
2.860000 13.058599 13.499603 13.967450
2.910000 13.284936 13.882030 14.401852
3.000000 13.776733 14.447290 14.979062
3.050000 14.197825 14.778313 15.274228
3.100000 14.708258 15.155920 15.570319
3.150000 15.151822 15.548558 15.967273
3.200000 15.626217 15.985084 16.454816
3.240000 15.909090 16.370592 16.805774
3.250000 15.978344 16.454290 16.901650
3.280000 16.244010 16.765899 17.177488
3.300000 16.392440 16.934275 17.345096
3.350000 16.783056 17.405768 17.934883
3.400000 17.291432 17.818405 18.326729
3.450000 17.742135 18.225026 18.677880
3.500000 18.052453 18.649442 19.030398
3.530000 18.149649 18.858068 19.302223
3.580000 18.525468 19.181764 19.661513
3.630000 18.961144 19.549688 20.177809
3.680000 19.181585 19.939390 20.703499
3.730000 19.553854 20.321936 20.995626
3.780000 19.951253 20.646036 21.399828
3.830000 20.321509 21.052288 21.708241
3.880000 20.852714 21.411219 22.075543
3.940000 21.239671 21.850520 22.439216
3.980000 21.629043 22.194936 22.812504
4.010000 21.826752 22.420557 22.971880
4.060000 22.271027 22.839022 23.323350
4.110000 22.682449 23.215621 23.635480
4.120000 22.772080 23.296931 23.719840
4.160000 23.018123 23.563165 24.104938
4.210000 23.369448 23.982590 24.490598
4.260000 23.732401 24.336804 24.884797
4.310000 23.951995 24.748443 25.336411
4.360000 24.132977 25.100278 25.771230
4.410000 24.641784 25.549438 26.239601
4.600000 26.018109 27.025104 27.844640
4.650000 26.298811 27.391920 28.202750
4.700000 26.724447 27.782693 28.516680
4.750000 27.319434 28.055067 28.809075
4.800000 27.555654 28.342596 29.266893
4.850000 27.749145 28.605876 29.501552
4.900000 27.930010 28.858168 29.833743
4.950000 28.185865 29.054283 30.049136
5.000000 28.360253 29.258534 30.253334
5.040000 28.598617 29.420185 30.486961
5.090000 28.843517 29.560987 30.798087
5.140000 29.018107 29.786150 30.991060
5.190000 29.202945 29.919946 31.189964
5.240000 29.427265 30.088666 31.412245
5.290000 29.571363 30.291215 31.514683
5.340000 29.735810 30.496592 31.696326
5.390000 29.894692 30.688313 31.892209
5.440000 30.114567 30.879320 32.052041
5.490000 30.302155 31.059299 32.183202
5.530000 30.502537 31.302558 32.311527
5.580000 30.658323 31.557771 32.500160
5.630000 30.770843 31.749260 32.688875
5.680000 30.863808 31.931053 32.879552
5.730000 31.038190 32.140642 33.074576
5.780000 31.176859 32.302813 33.300415
5.830000 31.353216 32.494987 33.491371
5.880000 31.483728 32.740536 33.637755
5.930000 31.669003 32.946463 33.961982
6.000000 31.867916 33.204039 34.341599
6.050000 32.202383 33.403873 34.601008
6.100000 32.363002 33.575039 34.874074
6.150000 32.598837 33.818568 35.070525
6.200000 32.852955 34.032004 35.206507
6.250000 33.037919 34.240363 35.279587
6.300000 33.237840 34.475708 35.627999
6.350000 33.323030 34.667924 35.906337
