age(kyr) mean(permil) sigma(permil)
0.000000 3.237590 0.212835
0.100000 3.284255 0.137357
0.200000 3.290152 0.111842
0.300000 3.280751 0.107700
0.400000 3.277520 0.104504
0.500000 3.274037 0.101360
0.600000 3.268899 0.102583
0.700000 3.263623 0.102977
0.800000 3.258228 0.102029
0.900000 3.254680 0.101972
1.000000 3.251507 0.102239
1.100000 3.248845 0.101909
1.200000 3.246419 0.101613
1.300000 3.242661 0.100135
1.400000 3.240037 0.100403
1.500000 3.237606 0.100417
1.600000 3.235276 0.100268
1.700000 3.233177 0.100233
1.800000 3.231381 0.100536
1.900000 3.229892 0.101223
2.000000 3.228389 0.101243
2.100000 3.226538 0.101983
2.200000 3.224605 0.102188
2.300000 3.222928 0.102849
2.400000 3.221096 0.104336
2.500000 3.219442 0.105467
2.600000 3.219625 0.106374
2.700000 3.220067 0.106400
2.800000 3.220582 0.106961
2.900000 3.221868 0.106972
3.000000 3.224203 0.107286
3.100000 3.223821 0.107956
3.200000 3.223189 0.108355
3.300000 3.221667 0.108869
3.400000 3.221330 0.109570
3.500000 3.222523 0.110240
3.600000 3.221844 0.110323
3.700000 3.222112 0.110432
3.800000 3.220767 0.110743
3.900000 3.220506 0.110990
4.000000 3.219659 0.110826
4.100000 3.221597 0.110516
4.200000 3.222765 0.110926
4.300000 3.224597 0.110660
4.400000 3.224363 0.110185
4.500000 3.224926 0.110136
4.600000 3.224738 0.110658
4.700000 3.222846 0.110343
4.800000 3.223260 0.109599
4.900000 3.222418 0.109072
5.000000 3.221953 0.108364
5.100000 3.220064 0.106866
5.200000 3.217647 0.105226
5.300000 3.218348 0.104481
5.400000 3.219138 0.104074
5.500000 3.220125 0.103823
5.600000 3.221866 0.103464
5.700000 3.223364 0.103161
5.800000 3.225261 0.102769
5.900000 3.227042 0.102678
6.000000 3.229251 0.102525
6.100000 3.231568 0.102484
6.200000 3.234153 0.102468
6.300000 3.236995 0.102474
6.400000 3.240085 0.102499
6.500000 3.243410 0.102538
6.600000 3.246958 0.102589
6.700000 3.250716 0.102648
6.800000 3.254672 0.102714
6.900000 3.258815 0.102784
7.000000 3.263134 0.102857
7.100000 3.267622 0.102931
7.200000 3.272272 0.103006
7.300000 3.277080 0.103081
7.400000 3.282047 0.103155
7.500000 3.287173 0.103228
7.600000 3.292464 0.103300
7.700000 3.297927 0.103369
7.800000 3.303573 0.103436
7.900000 3.309415 0.103500
8.000000 3.315466 0.103559
8.100000 3.321742 0.103614
8.200000 3.328260 0.103663
8.300000 3.335038 0.103705
8.400000 3.342091 0.103742
8.500000 3.349437 0.103772
8.600000 3.357093 0.103795
8.700000 3.365074 0.103813
8.800000 3.373395 0.103825
8.900000 3.382070 0.103834
9.000000 3.391112 0.103841
9.100000 3.400532 0.103847
9.200000 3.410340 0.103855
9.300000 3.420547 0.103866
9.400000 3.431159 0.103882
9.500000 3.442183 0.103907
9.600000 3.453623 0.103942
9.700000 3.465480 0.103990
9.800000 3.477754 0.104053
9.900000 3.490441 0.104132
10.000000 3.503534 0.104229
10.100000 3.517024 0.104344
10.200000 3.530896 0.104478
10.300000 3.545132 0.104629
10.400000 3.559711 0.104796
10.500000 3.574606 0.104976
10.600000 3.589790 0.105165
10.700000 3.605232 0.105358
10.800000 3.620900 0.105550
10.900000 3.636761 0.105737
11.000000 3.652782 0.105911
11.100000 3.668931 0.106068
11.200000 3.685176 0.106201
11.300000 3.701489 0.106306
11.400000 3.717840 0.106380
11.500000 3.734205 0.106418
11.600000 3.750561 0.106420
11.700000 3.766885 0.106384
11.800000 3.783160 0.106310
11.900000 3.799368 0.106202
12.000000 3.815497 0.106061
12.100000 3.831536 0.105891
12.200000 3.847479 0.105697
12.300000 3.863321 0.105484
12.400000 3.879065 0.105258
12.500000 3.894716 0.105025
12.600000 3.910286 0.104789
12.700000 3.925791 0.104555
12.800000 3.941254 0.104329
12.900000 3.956704 0.104114
13.000000 3.972172 0.103912
13.100000 3.987698 0.103727
13.200000 4.003323 0.103561
13.300000 4.019091 0.103415
13.400000 4.035051 0.103290
13.500000 4.051248 0.103187
13.600000 4.067729 0.103107
13.700000 4.084540 0.103050
13.800000 4.101723 0.103016
13.900000 4.119315 0.103005
14.000000 4.137350 0.103017
14.100000 4.155859 0.103051
14.200000 4.174864 0.103105
14.300000 4.194385 0.103180
14.400000 4.214435 0.103273
14.500000 4.235021 0.103384
14.600000 4.256145 0.103511
14.700000 4.277803 0.103654
14.800000 4.299986 0.103811
14.900000 4.322676 0.103983
15.000000 4.345851 0.104166
15.100000 4.369480 0.104361
15.200000 4.393525 0.104565
15.300000 4.417941 0.104776
15.400000 4.442675 0.104989
15.500000 4.467667 0.105202
15.600000 4.492850 0.105410
15.700000 4.518155 0.105608
15.800000 4.543503 0.105791
15.900000 4.568817 0.105956
16.000000 4.594014 0.106097
16.100000 4.619013 0.106211
16.200000 4.643733 0.106296
16.300000 4.668093 0.106348
16.400000 4.692015 0.106367
16.500000 4.715423 0.106352
16.600000 4.738245 0.106303
16.700000 4.760413 0.106221
16.800000 4.781863 0.106107
16.900000 4.802538 0.105963
17.000000 4.822384 0.105790
17.100000 4.841355 0.105592
17.200000 4.859411 0.105372
17.300000 4.876519 0.105131
17.400000 4.892653 0.104874
17.500000 4.907794 0.104604
17.600000 4.921929 0.104325
17.700000 4.935054 0.104040
17.800000 4.947170 0.103755
17.900000 4.958284 0.103474
18.000000 4.968410 0.103201
18.100000 4.977565 0.102942
18.200000 4.985771 0.102701
18.300000 4.993055 0.102482
18.400000 4.999446 0.102289
18.500000 5.004976 0.102125
18.600000 5.009680 0.101989
18.700000 5.013595 0.101884
18.800000 5.016758 0.101807
18.900000 5.019208 0.101757
19.000000 5.020984 0.101730
19.100000 5.022126 0.101724
19.200000 5.022674 0.101733
19.300000 5.022667 0.101756
19.400000 5.022142 0.101787
19.500000 5.021138 0.101823
19.600000 5.019690 0.101863
19.700000 5.017834 0.101904
19.800000 5.015601 0.101944
19.900000 5.013023 0.101982
20.000000 5.010126 0.102019
20.100000 5.006937 0.102054
20.200000 5.003479 0.102088
20.300000 4.999773 0.102121
20.400000 4.995835 0.102155
20.500000 4.991681 0.102190
20.600000 4.987326 0.102227
20.700000 4.982782 0.102267
20.800000 4.978059 0.102310
20.900000 4.973169 0.102356
21.000000 4.968123 0.102405
21.100000 4.962930 0.102456
21.200000 4.957604 0.102508
21.300000 4.952157 0.102560
21.400000 4.946602 0.102611
21.500000 4.940955 0.102658
21.600000 4.935232 0.102700
21.700000 4.929452 0.102735
21.800000 4.923631 0.102761
21.900000 4.917791 0.102777
22.000000 4.911952 0.102781
22.100000 4.906134 0.102771
22.200000 4.900359 0.102749
22.300000 4.894648 0.102711
22.400000 4.889022 0.102660
22.500000 4.883504 0.102594
22.600000 4.878113 0.102515
22.700000 4.872870 0.102424
22.800000 4.867794 0.102323
22.900000 4.862905 0.102212
23.000000 4.858218 0.102095
23.100000 4.853751 0.101973
23.200000 4.849517 0.101849
23.300000 4.845529 0.101726
23.400000 4.841797 0.101606
23.500000 4.838328 0.101492
23.600000 4.835127 0.101386
23.700000 4.832194 0.101290
23.800000 4.829528 0.101207
23.900000 4.827123 0.101139
24.000000 4.824968 0.101087
24.100000 4.823049 0.101053
24.200000 4.821348 0.101037
24.300000 4.819842 0.101042
24.400000 4.818505 0.101066
24.500000 4.817305 0.101111
24.600000 4.816210 0.101176
24.700000 4.815183 0.101262
24.800000 4.814184 0.101367
24.900000 4.813174 0.101490
25.000000 4.812110 0.101631
25.100000 4.810952 0.101788
25.200000 4.809659 0.101960
25.300000 4.808191 0.102145
25.400000 4.806513 0.102341
25.500000 4.804590 0.102547
25.600000 4.802394 0.102760
25.700000 4.799897 0.102979
25.800000 4.797079 0.103202
25.900000 4.793924 0.103425
26.000000 4.790419 0.103647
26.100000 4.786560 0.103866
26.200000 4.782346 0.104077
26.300000 4.777781 0.104278
26.400000 4.772877 0.104465
26.500000 4.767647 0.104635
26.600000 4.762114 0.104785
26.700000 4.756302 0.104910
26.800000 4.750242 0.105007
26.900000 4.743965 0.105074
27.000000 4.737510 0.105107
27.100000 4.730915 0.105106
27.200000 4.724222 0.105068
27.300000 4.717474 0.104993
27.400000 4.710716 0.104883
27.500000 4.703992 0.104738
27.600000 4.697349 0.104562
27.700000 4.690831 0.104356
27.800000 4.684485 0.104127
27.900000 4.678354 0.103879
28.000000 4.672481 0.103618
28.100000 4.666907 0.103351
28.200000 4.661672 0.103084
28.300000 4.656810 0.102824
28.400000 4.652352 0.102576
28.500000 4.648323 0.102347
28.600000 4.644742 0.102141
28.700000 4.641622 0.101960
28.800000 4.638965 0.101806
28.900000 4.636769 0.101680
29.000000 4.635023 0.101579
29.100000 4.633709 0.101502
29.200000 4.632801 0.101445
29.300000 4.632270 0.101403
29.400000 4.632082 0.101373
29.500000 4.632199 0.101349
29.600000 4.632583 0.101328
29.700000 4.633191 0.101305
29.800000 4.633983 0.101279
29.900000 4.634915 0.101246
30.000000 4.635947 0.101206
30.100000 4.637037 0.101158
30.200000 4.638146 0.101103
30.300000 4.639234 0.101044
30.400000 4.640264 0.100982
30.500000 4.641202 0.100922
30.600000 4.642015 0.100866
30.700000 4.642673 0.100820
30.800000 4.643149 0.100786
30.900000 4.643421 0.100770
31.000000 4.643472 0.100775
31.100000 4.643289 0.100802
31.200000 4.642864 0.100854
31.300000 4.642195 0.100931
31.400000 4.641285 0.101033
31.500000 4.640142 0.101159
31.600000 4.638777 0.101306
31.700000 4.637205 0.101472
31.800000 4.635447 0.101654
31.900000 4.633522 0.101849
32.000000 4.631454 0.102054
32.100000 4.629266 0.102267
32.200000 4.626981 0.102486
32.300000 4.624625 0.102710
32.400000 4.622308 0.103076
32.500000 4.619877 0.103298
32.600000 4.617481 0.103516
32.700000 4.615235 0.103871
32.800000 4.612922 0.104097
32.900000 4.611369 0.104687
33.000000 4.610108 0.105174
33.100000 4.608919 0.106450
33.200000 4.607780 0.106803
33.300000 4.606176 0.106755
33.400000 4.605238 0.107218
33.500000 4.603956 0.107127
33.600000 4.602799 0.106875
33.700000 4.601560 0.106648
33.800000 4.600160 0.106584
33.900000 4.598162 0.106842
34.000000 4.596063 0.106952
34.100000 4.593726 0.107033
34.200000 4.589866 0.107837
34.300000 4.585867 0.107718
34.400000 4.581876 0.107602
34.500000 4.577895 0.107401
34.600000 4.573004 0.107378
34.700000 4.567291 0.107309
34.800000 4.561588 0.107394
34.900000 4.555657 0.107076
35.000000 4.549193 0.106744
35.100000 4.542679 0.106506
35.200000 4.535867 0.105458
35.300000 4.528537 0.105407
35.400000 4.520876 0.105635
35.500000 4.512925 0.105768
35.600000 4.504918 0.105197
35.700000 4.496599 0.105327
35.800000 4.488152 0.105421
35.900000 4.479677 0.105579
36.000000 4.471173 0.105369
36.100000 4.462796 0.105213
36.200000 4.454676 0.105232
36.300000 4.446835 0.105209
36.400000 4.439340 0.105147
36.500000 4.432258 0.105050
36.600000 4.425650 0.104925
36.700000 4.419574 0.104780
36.800000 4.414085 0.104625
36.900000 4.409233 0.104468
37.000000 4.405067 0.104322
37.100000 4.401629 0.104198
37.200000 4.398960 0.104106
37.300000 4.397093 0.104057
37.400000 4.396058 0.104059
37.500000 4.395876 0.104119
37.600000 4.396563 0.104240
37.700000 4.398123 0.104423
37.800000 4.400552 0.104664
37.900000 4.403835 0.104957
38.000000 4.407950 0.105291
38.100000 4.412862 0.105655
38.200000 4.418528 0.106033
38.300000 4.424901 0.106411
38.400000 4.431923 0.106774
38.500000 4.439535 0.107108
38.600000 4.447671 0.107399
38.700000 4.456264 0.107636
38.800000 4.465243 0.107810
38.900000 4.474536 0.107914
39.000000 4.484070 0.107942
39.100000 4.493768 0.107893
39.200000 4.503555 0.107767
39.300000 4.513353 0.107565
39.400000 4.523085 0.107292
39.500000 4.532675 0.106955
39.600000 4.542045 0.106563
39.700000 4.551123 0.106124
39.800000 4.559838 0.105650
39.900000 4.568126 0.105154
40.000000 4.575927 0.104648
40.100000 4.583192 0.104145
40.200000 4.589881 0.103656
40.300000 4.595965 0.103191
40.400000 4.601426 0.102759
40.500000 4.606259 0.102367
40.600000 4.610468 0.102019
40.700000 4.614067 0.101716
40.800000 4.617078 0.101460
40.900000 4.619527 0.101247
41.000000 4.621444 0.101075
41.100000 4.622860 0.100940
41.200000 4.623805 0.100838
41.300000 4.624311 0.100765
41.400000 4.624404 0.100715
41.500000 4.624111 0.100685
41.600000 4.623456 0.100670
41.700000 4.622461 0.100668
41.800000 4.621146 0.100676
41.900000 4.619530 0.100690
42.000000 4.617629 0.100710
42.100000 4.615459 0.100734
42.200000 4.613032 0.100762
42.300000 4.610357 0.100792
42.400000 4.607443 0.100826
42.500000 4.604294 0.100865
42.600000 4.600910 0.100908
42.700000 4.597287 0.100959
42.800000 4.593419 0.101019
42.900000 4.589295 0.101091
43.000000 4.584901 0.101175
43.100000 4.580218 0.101275
43.200000 4.575228 0.101393
43.300000 4.569909 0.101530
43.400000 4.564238 0.101688
43.500000 4.558194 0.101869
43.600000 4.551758 0.102072
43.700000 4.544911 0.102298
43.800000 4.537642 0.102544
43.900000 4.529941 0.102810
44.000000 4.521809 0.103091
44.100000 4.513251 0.103383
44.200000 4.504283 0.103680
44.300000 4.494927 0.103977
44.400000 4.485215 0.104267
44.500000 4.475187 0.104542
44.600000 4.464893 0.104794
44.700000 4.454388 0.105016
44.800000 4.443734 0.105201
44.900000 4.432998 0.105343
45.000000 4.422251 0.105439
45.100000 4.411567 0.105483
45.200000 4.401024 0.105474
45.300000 4.390699 0.105414
45.400000 4.380670 0.105303
45.500000 4.371016 0.105146
45.600000 4.361817 0.104949
45.700000 4.353152 0.104722
45.800000 4.345100 0.104473
