depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.175000 1.017640 4.375701 6.002549
0.225000 1.973513 5.047158 6.496321
0.275000 2.931495 5.683081 7.071466
0.375000 4.658785 7.014307 7.958345
0.450000 6.473342 7.846852 8.508388
0.525000 8.080166 8.732548 9.240587
0.555000 8.524012 9.085868 9.576042
0.605000 9.127273 9.656993 10.163118
0.655000 9.800067 10.252689 10.686240
0.705000 10.231998 10.838621 11.204151
0.725000 10.496631 11.068854 11.453033
0.755000 11.004575 11.442136 11.837742
0.805000 11.658818 12.079022 12.586547
0.855000 12.371478 12.768565 13.228309
0.905000 12.902703 13.331806 13.878594
0.955000 13.407432 13.910188 14.438947
1.005000 13.952182 14.650892 15.123420
1.055000 15.187077 15.766661 16.444984
1.075000 15.740512 16.353240 16.896017
1.105000 16.607888 17.220478 17.706524
1.155000 17.285458 17.866486 18.508071
1.205000 17.815292 18.462498 19.203840
1.305000 18.871413 19.938806 21.568602
1.405000 20.169691 21.640571 23.116265
1.505000 22.486791 23.498022 24.569903
1.605000 24.152741 25.735452 26.986301
1.705000 27.366598 28.169607 28.998682
1.755000 28.435600 29.307652 30.429986
1.805000 29.141164 30.367181 31.756989
1.905000 30.448829 32.904161 35.349143
2.005000 32.757068 36.421402 38.171786
2.105000 34.208390 38.808641 41.138433
2.205000 36.151598 41.123700 44.007042
