depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.138835 2.100041 4.071612
0.250000 1.905122 3.512042 5.155630
0.350000 2.718476 4.244533 5.608492
0.400000 3.185093 4.537057 5.952894
0.450000 3.648315 4.868101 6.234874
0.500000 4.089354 5.219142 6.507048
0.550000 4.613341 5.542301 6.695534
0.600000 4.979463 5.904235 7.014086
0.650000 5.494470 6.236764 7.291032
0.700000 5.949299 6.612652 7.581596
0.750000 6.441613 7.012050 7.949005
0.800000 6.948007 7.667753 8.629727
0.850000 7.618176 8.305310 9.241946
0.900000 8.183585 8.981366 9.833138
0.950000 8.758312 9.608039 10.389385
1.000000 9.568947 10.316188 10.958459
1.050000 10.019082 10.913434 11.546516
1.100000 10.815556 11.555921 12.044654
1.150000 11.426052 12.003918 12.552534
1.200000 11.970410 12.419654 12.911057
1.250000 12.567159 12.863330 13.201191
1.300000 12.885442 13.280173 13.693636
1.350000 13.269510 13.708448 14.183208
1.400000 13.716938 14.148927 14.530925
1.450000 13.961312 14.462262 14.910130
1.500000 14.306388 14.790169 15.185842
1.550000 14.604992 15.122177 15.438883
1.600000 14.920310 15.375991 15.671727
1.650000 15.212528 15.623904 15.951200
1.700000 15.490457 15.891280 16.248082
1.750000 15.809558 16.132985 16.506440
1.800000 16.057271 16.376318 16.733725
1.850000 16.312400 16.637752 16.985217
1.900000 16.564747 16.888075 17.344751
1.950000 16.810710 17.165950 17.676070
2.000000 17.046141 17.436182 17.980239
2.050000 17.288678 17.726451 18.353072
2.100000 17.474834 18.023176 18.878599
2.150000 17.762713 18.536415 19.484259
2.200000 18.203942 19.086922 20.038958
2.250000 18.722852 19.609580 20.538342
2.300000 19.202794 20.094013 21.121990
2.350000 19.749572 20.635011 21.622001
2.400000 20.364362 21.160476 22.079156
2.450000 20.894012 21.695775 22.529826
2.500000 21.437280 22.207185 22.906098
2.550000 21.928103 22.728809 23.368872
2.600000 22.489836 23.229672 23.730373
2.650000 22.971478 23.628959 24.121766
2.700000 23.294748 24.000401 24.552171
2.750000 23.543638 24.331987 24.980823
2.800000 23.763474 24.679900 25.452715
2.850000 24.060187 25.008491 25.790512
2.900000 24.380106 25.271286 26.093956
2.950000 24.728700 25.623609 26.449419
3.000000 25.041810 25.957446 26.729311
3.050000 25.304270 26.230119 27.083532
3.100000 25.652189 26.566091 27.345024
3.150000 25.968361 26.856999 27.542129
3.200000 26.219287 27.160400 27.771090
3.250000 26.634136 27.467413 28.020924
3.300000 26.932223 27.746731 28.276551
3.350000 27.217033 27.978909 28.479036
3.400000 27.465426 28.279625 28.686393
3.450000 27.738361 28.521623 28.962669
3.500000 28.052489 28.788976 29.243718
3.550000 28.326892 29.042652 29.446959
3.600000 28.629681 29.280665 29.717314
3.650000 28.944759 29.524377 29.987608
3.700000 29.179372 29.758272 30.276781
3.750000 29.445073 29.989546 30.537639
3.800000 29.637799 30.219542 30.875232
3.850000 29.963459 30.471438 31.201090
3.900000 30.235877 30.731243 31.495674
3.950000 30.485607 31.001946 31.727245
4.000000 30.735365 31.264897 31.942646
4.050000 31.017809 31.539542 32.157169
4.100000 31.263903 31.850920 32.438138
4.150000 31.527140 32.164419 32.768403
4.200000 31.804682 32.399935 33.050338
4.250000 32.019108 32.664484 33.299359
4.300000 32.201304 32.932788 33.644385
4.350000 32.420644 33.148066 33.899997
4.400000 32.591442 33.386783 34.156823
4.450000 32.810751 33.626281 34.436724
4.500000 33.025055 33.856851 34.701770
4.550000 33.227732 34.094582 34.925862
4.600000 33.408794 34.352076 35.143359
4.650000 33.644674 34.597746 35.331321
4.700000 33.891978 34.901197 35.601535
4.750000 34.129232 35.116201 35.812912
4.800000 34.489000 35.372855 36.050534
4.850000 34.717587 35.617168 36.255005
4.900000 35.071387 35.871360 36.486200
4.950000 35.406464 36.138765 36.813415
5.000000 35.714006 36.398117 37.118185
5.050000 36.028945 36.714075 37.552527
5.100000 36.388589 37.059893 37.768987
5.150000 36.706915 37.461688 38.190940
5.200000 37.040059 37.843430 38.477420
5.250000 37.461489 38.231883 38.790321
5.300000 37.912281 38.613454 39.225305
5.350000 38.324179 39.006727 39.699526
5.400000 38.636893 39.336480 40.046420
5.450000 39.018130 39.645696 40.389500
5.500000 39.298644 39.966895 40.810020
5.550000 39.540426 40.263697 41.146832
5.600000 39.809422 40.545285 41.461544
5.650000 40.027384 40.830911 41.941272
5.700000 40.326605 41.171268 42.138171
5.750000 40.673200 41.471877 42.593930
5.800000 40.978492 41.839149 42.792203
5.850000 41.227505 42.133896 43.084291
5.900000 41.535968 42.473328 43.300219
5.950000 41.840490 42.822264 43.681498
6.000000 42.242274 43.168529 43.979492
6.050000 42.640378 43.426800 44.316410
6.150000 43.379122 44.041990 44.782185
6.200000 43.745506 44.341802 45.099351
6.250000 44.109516 44.735330 45.406187
6.300000 44.489140 45.111533 45.746896
6.350000 44.821900 45.462780 46.026836
6.400000 45.166774 45.817304 46.403567
6.450000 45.549558 46.151743 46.725559
6.500000 45.893738 46.516160 47.069450
6.550000 46.293178 46.878177 47.515491
6.600000 46.580813 47.248812 47.991343
6.650000 46.822702 47.571522 48.362267
6.700000 47.189191 47.931041 48.718831
6.750000 47.472540 48.274277 49.078952
6.800000 47.760824 48.602331 49.636683
