depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.130000 0.138289 0.283911 0.970888
0.140000 0.159897 0.308113 0.987159
0.150000 0.191362 0.341075 1.009004
0.160000 0.216057 0.371401 1.030849
0.170000 0.241075 0.409759 1.052694
0.180000 0.266093 0.452337 1.079338
0.190000 0.289931 0.495094 1.108736
0.200000 0.311698 0.534636 1.141410
0.210000 0.334040 0.571853 1.174084
0.220000 0.343931 0.613985 1.206758
0.230000 0.354551 0.656770 1.239432
0.240000 0.367319 0.699554 1.272106
0.250000 0.382772 0.739950 1.304780
0.260000 0.399543 0.777528 1.337454
0.270000 0.416313 0.805241 1.370128
0.280000 0.433084 0.843318 1.402802
0.290000 0.449855 0.880738 1.435476
0.300000 0.466625 0.919472 1.476891
0.310000 0.480858 0.957736 1.524711
0.320000 0.492728 0.997946 1.572530
0.330000 0.504599 1.033653 1.620350
0.340000 0.516469 1.068349 1.674452
0.350000 0.528340 1.101281 1.739043
0.360000 0.540211 1.135648 1.803633
0.370000 0.552081 1.173248 1.868224
0.380000 0.563952 1.210848 1.932815
0.390000 0.575822 1.248447 1.999318
0.400000 0.587693 1.286257 2.066636
0.410000 0.599563 1.326183 2.123417
0.420000 0.611434 1.360610 2.175067
0.430000 0.623305 1.398731 2.237859
0.440000 0.635175 1.436166 2.300652
0.450000 0.647046 1.464298 2.363444
0.460000 0.658916 1.497979 2.426237
0.470000 0.670787 1.531992 2.489029
0.480000 0.682658 1.567303 2.553622
0.490000 0.694528 1.601978 2.619761
0.500000 0.706399 1.634749 2.685900
0.510000 0.718269 1.666391 2.752039
0.520000 0.730140 1.700454 2.818178
0.530000 0.742011 1.734808 2.884316
0.540000 0.753154 1.770400 2.950455
0.550000 0.764284 1.803022 3.016594
0.560000 0.775414 1.838423 3.082733
0.570000 0.786544 1.875843 3.129086
0.580000 0.797941 1.906064 3.154193
0.590000 0.810572 1.927301 3.181313
0.600000 0.823204 1.953839 3.220207
0.610000 0.835835 1.983004 3.259630
0.620000 0.848466 2.015082 3.300245
