depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.050000 0.000999 0.028937 0.127191
0.100000 0.072325 0.143167 0.264422
0.150000 0.162460 0.250743 0.378265
0.170000 0.217869 0.306760 0.427251
0.200000 0.284071 0.394376 0.521829
0.250000 0.388362 0.507905 0.664531
0.290000 0.477090 0.602477 0.742805
0.300000 0.518567 0.636511 0.774482
0.350000 0.648251 0.785818 0.929964
0.400000 0.768333 0.938246 1.118968
0.450000 0.876418 1.071531 1.254187
0.490000 0.983588 1.185903 1.374622
0.530000 1.104400 1.306944 1.520671
0.540000 1.151825 1.346613 1.550639
0.590000 1.314808 1.524325 1.773974
0.640000 1.479454 1.696565 1.973582
0.650000 1.526285 1.745643 2.012384
0.690000 1.702081 1.922375 2.265208
0.740000 1.836479 2.123569 2.535389
0.750000 1.908233 2.183057 2.588761
0.790000 2.117209 2.439302 2.834558
0.840000 2.412080 2.805835 3.221923
0.890000 2.762355 3.145497 3.628338
0.940000 3.024021 3.387016 3.889625
0.990000 3.270837 3.645236 4.189550
1.010000 3.377569 3.753274 4.262137
1.030000 3.524445 3.842490 4.349851
1.080000 3.733475 4.084107 4.609636
1.130000 3.979109 4.372039 4.878309
1.180000 4.234991 4.660219 5.114114
1.230000 4.519301 4.943325 5.397074
1.280000 4.751292 5.218593 5.756464
1.330000 5.014724 5.526601 6.108090
1.380000 5.268883 5.831650 6.442238
1.430000 5.637660 6.125803 6.649946
1.500000 6.088609 6.522593 6.953557
1.550000 6.414150 6.797680 7.216296
1.580000 6.578987 6.952192 7.308720
1.600000 6.702076 7.047945 7.405275
1.650000 6.878960 7.258392 7.731824
1.700000 7.085213 7.441508 8.064238
1.750000 7.344173 7.625172 8.268831
1.800000 7.506422 7.804977 8.580487
1.850000 7.729165 8.012909 8.877337
1.860000 7.765594 8.059276 8.946299
1.900000 7.935038 8.355110 9.200242
2.010000 8.809668 9.316046 9.924683
2.020000 8.874344 9.374589 9.989226
2.030000 8.923454 9.439322 10.034782
2.080000 9.146221 9.666615 10.204853
2.130000 9.378958 9.881631 10.416288
2.180000 9.656268 10.170470 10.655059
2.300000 10.389157 10.830065 11.178286
2.330000 10.502722 10.965531 11.314439
2.380000 10.727528 11.172867 11.509376
2.430000 10.933863 11.380495 11.711417
2.480000 11.204832 11.609822 11.945481
2.510000 11.472470 11.786877 12.139273
2.560000 11.756108 12.051896 12.484495
2.590000 11.905521 12.207472 12.629463
2.610000 12.015487 12.299856 12.711057
2.660000 12.220295 12.482545 12.940261
2.710000 12.390340 12.688316 13.167333
2.760000 12.621007 12.902700 13.370918
2.780000 12.703206 13.003393 13.531772
2.810000 12.861662 13.193692 13.729941
2.860000 13.100561 13.547811 14.148227
2.910000 13.377415 13.933393 14.507315
3.000000 14.188151 14.657736 15.123739
3.050000 14.465169 14.956058 15.381266
3.100000 14.879222 15.348149 15.700345
3.150000 15.266619 15.732044 16.074863
3.200000 15.754528 16.129190 16.492876
3.240000 16.114658 16.533114 16.995686
3.250000 16.176765 16.597408 17.047824
3.280000 16.422744 16.855331 17.286531
3.300000 16.586758 17.035523 17.477770
3.350000 16.941072 17.432522 17.837045
3.400000 17.331735 17.851340 18.341899
3.450000 17.741653 18.268023 18.664622
3.500000 18.151553 18.631614 19.039393
3.530000 18.296477 18.848021 19.259136
3.580000 18.560933 19.177065 19.714603
3.630000 18.849473 19.492122 20.077373
3.680000 19.234416 19.851302 20.438703
3.730000 19.535422 20.185637 20.752157
3.780000 19.925054 20.525245 21.206052
3.830000 20.244819 20.874993 21.568905
3.880000 20.601925 21.216448 21.918259
3.940000 21.020150 21.633275 22.249016
3.980000 21.297688 21.920701 22.501101
4.010000 21.451469 22.139428 22.646506
4.060000 21.988311 22.456167 22.932544
4.110000 22.354969 22.760857 23.346203
4.120000 22.432510 22.814011 23.406345
4.160000 22.654388 23.046547 23.775044
4.210000 22.876114 23.366390 24.189773
4.260000 23.081770 23.688469 24.595066
4.310000 23.403032 24.075481 25.145440
4.360000 23.653996 24.441761 25.609245
4.410000 23.936860 24.776454 25.960915
4.600000 25.714011 26.972757 28.017419
4.650000 26.039238 27.357463 28.247634
4.700000 26.376436 27.659811 28.603072
4.750000 26.811623 27.958867 28.847053
4.800000 27.145251 28.245199 29.032322
4.850000 27.645550 28.521479 29.239194
4.900000 27.938659 28.737477 29.510619
4.950000 28.224741 28.978356 29.771289
5.000000 28.476307 29.152390 29.962595
5.040000 28.623473 29.338414 30.121055
5.090000 28.853309 29.536169 30.416469
5.140000 29.093479 29.726498 30.647415
5.190000 29.322467 30.028640 30.826404
5.240000 29.492729 30.245633 31.195237
5.290000 29.714895 30.454931 31.511283
5.340000 29.921894 30.704015 31.737262
5.390000 30.135944 30.922465 32.021053
5.440000 30.295017 31.162036 32.298543
5.490000 30.542462 31.404663 32.463246
5.530000 30.693603 31.573234 32.683445
5.580000 30.919941 31.840822 32.867914
5.630000 31.088495 32.005094 33.102253
5.680000 31.268992 32.234042 33.331995
5.730000 31.496129 32.485939 33.553787
5.780000 31.704933 32.657513 33.863532
5.830000 32.083211 32.863929 34.062231
5.880000 32.224346 33.045853 34.281596
5.930000 32.473210 33.238550 34.495295
6.000000 32.721376 33.602221 34.794636
6.050000 32.946698 33.816281 34.995522
6.100000 33.073619 34.006660 35.204039
6.150000 33.301294 34.239110 35.489460
6.200000 33.549535 34.452009 35.784779
6.250000 33.775262 34.708318 36.002543
6.300000 33.953954 34.966382 36.227008
6.350000 34.147810 35.250979 36.575324
