depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.000000 0.297161 2.349123 3.696937
0.050000 1.346967 2.961480 4.385151
0.100000 2.204319 3.548988 5.105124
0.150000 3.024250 4.177185 5.889275
0.200000 3.766143 4.817979 6.439967
0.250000 4.557770 5.681138 7.409567
0.300000 5.377507 6.664975 8.267940
0.350000 6.485492 7.941777 9.245110
0.400000 7.912171 9.035131 10.007678
0.450000 9.230006 10.174796 11.082826
0.500000 10.592122 11.274322 11.631283
0.520000 11.055138 11.639816 11.969674
0.540000 11.617048 12.068893 12.491784
0.560000 11.979268 12.462400 13.005366
0.580000 12.342296 12.918530 13.536915
0.600000 12.651996 13.313735 13.853372
0.620000 12.845224 13.566161 14.167276
0.640000 13.117707 13.811315 14.427760
0.660000 13.528260 14.096252 14.730197
0.680000 13.854245 14.453980 14.948671
0.700000 14.309734 14.863160 15.288173
0.720000 15.080054 15.631331 16.140412
0.740000 15.652772 16.049808 16.505453
0.760000 16.006676 16.441369 16.847231
0.780000 16.579317 17.058470 17.485343
0.800000 17.063926 17.471569 17.912924
0.820000 17.363703 17.849208 18.395789
0.840000 17.639416 18.244590 18.862470
0.860000 17.948886 18.608613 19.386296
0.880000 18.231020 18.934991 19.780790
0.900000 18.576221 19.285618 20.006354
0.920000 18.873451 19.642244 20.365433
0.940000 19.208710 20.033934 20.630784
0.960000 19.576720 20.321009 20.938941
0.980000 19.999597 20.647603 21.154095
1.000000 20.307060 20.953928 21.399360
1.020000 20.512112 21.190996 21.659823
1.030000 20.670041 21.356758 21.848591
1.040000 20.818031 21.478394 22.006836
1.060000 21.108060 21.713312 22.278793
1.080000 21.329705 21.954851 22.572074
1.100000 21.626750 22.220284 22.886648
1.120000 21.968941 22.477607 23.191257
1.140000 22.309067 22.791637 23.566188
1.160000 22.638605 23.114731 23.793925
1.180000 22.896103 23.403804 24.043722
1.200000 23.106647 23.720528 24.347412
1.220000 23.381656 23.976189 24.614081
1.240000 23.628424 24.240477 24.924792
1.280000 24.014896 24.750680 25.386770
1.300000 24.297855 25.014496 25.603999
1.320000 24.607115 25.271316 25.788826
1.340000 24.921138 25.579329 26.129433
1.360000 25.148291 25.889465 26.444271
1.380000 25.408828 26.197745 26.823664
1.400000 25.600322 26.531730 27.269447
1.420000 25.880696 26.813185 27.705879
1.440000 26.139168 27.137994 28.027170
1.460000 26.393468 27.458270 28.305850
1.480000 26.676026 27.790954 28.755011
1.500000 26.924249 28.147692 29.248690
1.520000 27.184544 28.466973 29.638950
1.540000 27.554362 28.907143 29.955501
1.560000 27.962376 29.405353 30.267391
