age(kyr) mean(permil) sigma(permil)
0.000000 3.256162 0.193032
0.100000 3.297497 0.105649
0.200000 3.296560 0.110035
0.300000 3.290942 0.109268
0.400000 3.278827 0.102063
0.500000 3.280078 0.101492
0.600000 3.270790 0.100419
0.700000 3.269479 0.101900
0.800000 3.272209 0.104435
0.900000 3.271049 0.106869
1.000000 3.266386 0.109006
1.100000 3.261320 0.108818
1.200000 3.257405 0.107162
1.300000 3.255613 0.106408
1.400000 3.254381 0.107232
1.500000 3.251397 0.107678
1.600000 3.250487 0.109439
1.700000 3.251768 0.110801
1.800000 3.254213 0.111052
1.900000 3.256783 0.110976
2.000000 3.258692 0.112083
2.100000 3.258961 0.113384
2.200000 3.256986 0.114489
2.300000 3.252796 0.115720
2.400000 3.247682 0.117406
2.500000 3.241111 0.118817
2.600000 3.235332 0.120361
2.700000 3.230902 0.120525
2.800000 3.225899 0.120490
2.900000 3.222194 0.119776
3.000000 3.219503 0.118505
3.100000 3.216357 0.118507
3.200000 3.213617 0.118815
3.300000 3.211896 0.118707
3.400000 3.207994 0.118378
3.500000 3.204195 0.118860
3.600000 3.200021 0.119616
3.700000 3.197887 0.121084
3.800000 3.196273 0.122513
3.900000 3.197260 0.123742
4.000000 3.198992 0.123602
4.100000 3.201587 0.123787
4.200000 3.207109 0.123544
4.300000 3.210818 0.122426
4.400000 3.215199 0.121398
4.500000 3.219305 0.121702
4.600000 3.223068 0.122935
4.700000 3.226820 0.123560
4.800000 3.230012 0.123651
4.900000 3.232848 0.123737
5.000000 3.235903 0.123476
5.100000 3.236353 0.120527
5.200000 3.237895 0.119351
5.300000 3.236810 0.117144
5.400000 3.235577 0.116286
5.500000 3.234231 0.115569
5.600000 3.233167 0.115555
5.700000 3.232221 0.115721
5.800000 3.231271 0.115247
5.900000 3.230925 0.115490
6.000000 3.231351 0.115323
6.100000 3.231995 0.114921
6.200000 3.233089 0.114722
6.300000 3.234814 0.114740
6.400000 3.237707 0.115127
6.500000 3.241494 0.115706
6.600000 3.246798 0.116309
6.700000 3.253282 0.116706
6.800000 3.260468 0.116693
6.900000 3.268613 0.116690
7.000000 3.276601 0.116386
7.100000 3.283977 0.115651
7.200000 3.290701 0.114836
7.300000 3.296871 0.114103
7.400000 3.302799 0.113723
7.500000 3.308080 0.113333
7.600000 3.312703 0.113033
7.700000 3.316426 0.113547
7.800000 3.319854 0.114920
7.900000 3.323440 0.116248
8.000000 3.327620 0.117196
8.100000 3.333534 0.118430
8.200000 3.341408 0.120022
8.300000 3.349520 0.120259
8.400000 3.357997 0.119368
8.500000 3.365481 0.117516
8.600000 3.371012 0.114183
8.700000 3.373675 0.110343
8.800000 3.374712 0.107677
8.900000 3.375678 0.105651
9.000000 3.376012 0.104315
9.100000 3.378014 0.104555
9.200000 3.381977 0.105221
9.300000 3.388018 0.106995
9.400000 3.396296 0.108898
9.500000 3.406669 0.110867
9.600000 3.418325 0.112203
9.700000 3.431997 0.114070
9.800000 3.445712 0.115265
9.900000 3.458677 0.115239
10.000000 3.470588 0.113957
10.100000 3.481787 0.111974
10.200000 3.494695 0.111559
10.300000 3.509628 0.111583
10.400000 3.525018 0.111905
10.500000 3.540365 0.113072
10.600000 3.554448 0.112433
10.700000 3.566729 0.110228
10.800000 3.576875 0.107002
10.900000 3.584750 0.103735
11.000000 3.589884 0.102839
11.100000 3.595579 0.103946
11.200000 3.604103 0.107332
11.300000 3.616826 0.110976
11.400000 3.637829 0.114771
11.500000 3.664583 0.118713
11.600000 3.694701 0.121618
11.700000 3.725799 0.123179
11.800000 3.756481 0.123364
11.900000 3.786469 0.122388
12.000000 3.816451 0.120917
12.100000 3.846355 0.119543
12.200000 3.875172 0.118052
12.300000 3.902466 0.116693
12.400000 3.928031 0.115296
12.500000 3.950819 0.114134
12.600000 3.971190 0.113327
12.700000 3.990232 0.112966
12.800000 4.007685 0.113888
12.900000 4.022440 0.115824
13.000000 4.035153 0.117039
13.100000 4.045434 0.117164
13.200000 4.053867 0.116937
13.300000 4.061299 0.116906
13.400000 4.070802 0.116557
13.500000 4.082587 0.114773
13.600000 4.095625 0.111947
13.700000 4.109720 0.109823
13.800000 4.124557 0.108823
13.900000 4.138293 0.108142
14.000000 4.150607 0.108163
14.100000 4.161892 0.108232
14.200000 4.173210 0.108471
14.300000 4.186099 0.109504
14.400000 4.202153 0.111396
14.500000 4.219825 0.113835
14.600000 4.238352 0.116109
14.700000 4.258511 0.118088
14.800000 4.280259 0.119306
14.900000 4.302656 0.120507
15.000000 4.325081 0.121255
15.100000 4.345963 0.120959
15.200000 4.365180 0.120322
15.300000 4.385992 0.119314
15.400000 4.409243 0.119173
15.500000 4.434095 0.120230
15.600000 4.459978 0.121306
15.700000 4.487663 0.122531
15.800000 4.515361 0.123737
15.900000 4.543457 0.124763
16.000000 4.576711 0.125619
16.100000 4.612884 0.126169
16.200000 4.650417 0.126169
16.300000 4.686056 0.125270
16.400000 4.718375 0.124420
16.500000 4.748068 0.123746
16.600000 4.775544 0.122618
16.700000 4.803186 0.121212
16.800000 4.831449 0.119604
16.900000 4.859079 0.117496
17.000000 4.885458 0.114964
17.100000 4.909703 0.112095
17.200000 4.931138 0.109051
17.300000 4.949163 0.106468
17.400000 4.962223 0.105081
17.500000 4.970737 0.104646
17.600000 4.976675 0.104685
17.700000 4.981194 0.104551
17.800000 4.985354 0.104127
17.900000 4.988485 0.103832
18.000000 4.990733 0.103779
18.100000 4.992434 0.104263
18.200000 4.994749 0.104625
18.300000 4.996548 0.105035
18.400000 4.997439 0.105590
18.500000 4.997601 0.106496
18.600000 4.998560 0.107546
18.700000 4.999917 0.108437
18.800000 5.002024 0.109181
18.900000 5.004715 0.109832
19.000000 5.006705 0.110302
19.100000 5.006963 0.110488
19.200000 5.006498 0.110488
19.300000 5.005308 0.111106
19.400000 5.003490 0.112461
19.500000 5.001238 0.113713
19.600000 4.999252 0.114720
19.700000 4.997424 0.115476
19.800000 4.996043 0.116024
19.900000 4.994695 0.116390
20.000000 4.992537 0.116943
20.100000 4.989134 0.117723
20.200000 4.985740 0.118475
20.300000 4.982661 0.119275
20.400000 4.979664 0.119856
20.500000 4.977451 0.119870
20.600000 4.975269 0.119676
20.700000 4.972953 0.119454
20.800000 4.969808 0.119403
